,Statistic,Year,State,UNIT,VALUE
80,Livestock - Pig,2006,State,Euro Million,321.5
81,Livestock - Pig,2007,State,Euro Million,288.6
82,Livestock - Pig,2008,State,Euro Million,330.1
83,Livestock - Pig,2009,State,Euro Million,300.0
84,Livestock - Pig,2010,State,Euro Million,333.7
85,Livestock - Pig,2011,State,Euro Million,394.2
86,Livestock - Pig,2012,State,Euro Million,441.5
87,Livestock - Pig,2013,State,Euro Million,475.7
88,Livestock - Pig,2014,State,Euro Million,471.3
89,Livestock - Pig,2015,State,Euro Million,456.3
90,Livestock - Pig,2016,State,Euro Million,465.6
91,Livestock - Pig,2017,State,Euro Million,516.8
92,Livestock - Pig,2018,State,Euro Million,459.1
93,Livestock - Pig,2019,State,Euro Million,543.0
94,Livestock - Pig,2020,State,Euro Million,601.9
95,Livestock - Pig,2021,State,Euro Million,565.1
96,Livestock - Sheep,1990,State,Euro Million,188.8
97,Livestock - Sheep,1991,State,Euro Million,198.9
98,Livestock - Sheep,1992,State,Euro Million,192.8
99,Livestock - Sheep,1993,State,Euro Million,232.4
100,Livestock - Sheep,1994,State,Euro Million,230.2
101,Livestock - Sheep,1995,State,Euro Million,190.7
102,Livestock - Sheep,1996,State,Euro Million,241.8
103,Livestock - Sheep,1997,State,Euro Million,230.0
104,Livestock - Sheep,1998,State,Euro Million,214.0
105,Livestock - Sheep,1999,State,Euro Million,198.0
106,Livestock - Sheep,2000,State,Euro Million,203.5
107,Livestock - Sheep,2001,State,Euro Million,284.4
108,Livestock - Sheep,2002,State,Euro Million,202.2
109,Livestock - Sheep,2003,State,Euro Million,193.3
110,Livestock - Sheep,2004,State,Euro Million,200.4
111,Livestock - Sheep,2005,State,Euro Million,194.2
112,Livestock - Sheep,2006,State,Euro Million,193.1
113,Livestock - Sheep,2007,State,Euro Million,184.5
114,Livestock - Sheep,2008,State,Euro Million,173.8
115,Livestock - Sheep,2009,State,Euro Million,159.4
116,Livestock - Sheep,2010,State,Euro Million,165.6
117,Livestock - Sheep,2011,State,Euro Million,189.8
118,Livestock - Sheep,2012,State,Euro Million,204.4
119,Livestock - Sheep,2013,State,Euro Million,203.8
120,Livestock - Sheep,2014,State,Euro Million,231.6
121,Livestock - Sheep,2015,State,Euro Million,245.2
122,Livestock - Sheep,2016,State,Euro Million,255.7
123,Livestock - Sheep,2017,State,Euro Million,262.9
124,Livestock - Sheep,2018,State,Euro Million,258.8
125,Livestock - Sheep,2019,State,Euro Million,260.8
126,Livestock - Sheep,2020,State,Euro Million,303.3
127,Livestock - Sheep,2021,State,Euro Million,361.9
128,Livestock - Horses,1990,State,Euro Million,83.2
129,Livestock - Horses,1991,State,Euro Million,70.2
130,Livestock - Horses,1992,State,Euro Million,61.4
131,Livestock - Horses,1993,State,Euro Million,84.5
132,Livestock - Horses,1994,State,Euro Million,75.9
133,Livestock - Horses,1995,State,Euro Million,70.1
134,Livestock - Horses,1996,State,Euro Million,96.9
135,Livestock - Horses,1997,State,Euro Million,106.9
136,Livestock - Horses,1998,State,Euro Million,128.7
137,Livestock - Horses,1999,State,Euro Million,150.0
138,Livestock - Horses,2000,State,Euro Million,164.4
139,Livestock - Horses,2001,State,Euro Million,146.5
140,Livestock - Horses,2002,State,Euro Million,200.7
141,Livestock - Horses,2003,State,Euro Million,204.3
142,Livestock - Horses,2004,State,Euro Million,217.6
143,Livestock - Horses,2005,State,Euro Million,234.0
144,Livestock - Horses,2006,State,Euro Million,263.5
145,Livestock - Horses,2007,State,Euro Million,269.3
146,Livestock - Horses,2008,State,Euro Million,228.5
147,Livestock - Horses,2009,State,Euro Million,172.7
148,Livestock - Horses,2010,State,Euro Million,145.9
149,Livestock - Horses,2011,State,Euro Million,135.6
150,Livestock - Horses,2012,State,Euro Million,166.7
151,Livestock - Horses,2013,State,Euro Million,186.5
152,Livestock - Horses,2014,State,Euro Million,221.7
153,Livestock - Horses,2015,State,Euro Million,247.3
154,Livestock - Horses,2016,State,Euro Million,270.5
155,Livestock - Horses,2017,State,Euro Million,287.4
156,Livestock - Horses,2018,State,Euro Million,306.4
157,Livestock - Horses,2019,State,Euro Million,255.5
158,Livestock - Horses,2020,State,Euro Million,216.1
159,Livestock - Horses,2021,State,Euro Million,257.2
160,Livestock - Poultry,1990,State,Euro Million,117.1
161,Livestock - Poultry,1991,State,Euro Million,125.5
162,Livestock - Poultry,1992,State,Euro Million,124.5
163,Livestock - Poultry,1993,State,Euro Million,116.0
164,Livestock - Poultry,1994,State,Euro Million,134.6
165,Livestock - Poultry,1995,State,Euro Million,133.8
166,Livestock - Poultry,1996,State,Euro Million,140.4
167,Livestock - Poultry,1997,State,Euro Million,149.1
168,Livestock - Poultry,1998,State,Euro Million,142.2
169,Livestock - Poultry,1999,State,Euro Million,137.8
170,Livestock - Poultry,2000,State,Euro Million,124.0
171,Livestock - Poultry,2001,State,Euro Million,137.7
172,Livestock - Poultry,2002,State,Euro Million,132.1
173,Livestock - Poultry,2003,State,Euro Million,138.7
174,Livestock - Poultry,2004,State,Euro Million,151.2
175,Livestock - Poultry,2005,State,Euro Million,146.5
176,Livestock - Poultry,2006,State,Euro Million,114.3
177,Livestock - Poultry,2007,State,Euro Million,133.0
178,Livestock - Poultry,2008,State,Euro Million,122.7
179,Livestock - Poultry,2009,State,Euro Million,115.1
180,Livestock - Poultry,2010,State,Euro Million,112.2
181,Livestock - Poultry,2011,State,Euro Million,130.1
182,Livestock - Poultry,2012,State,Euro Million,132.9
183,Livestock - Poultry,2013,State,Euro Million,129.9
184,Livestock - Poultry,2014,State,Euro Million,133.3
185,Livestock - Poultry,2015,State,Euro Million,142.2
186,Livestock - Poultry,2016,State,Euro Million,159.5
187,Livestock - Poultry,2017,State,Euro Million,163.1
188,Livestock - Poultry,2018,State,Euro Million,159.0
189,Livestock - Poultry,2019,State,Euro Million,169.2
190,Livestock - Poultry,2020,State,Euro Million,180.0
191,Livestock - Poultry,2021,State,Euro Million,187.9
192,All Livestock Products,1990,State,Euro Million,1360.0
193,All Livestock Products,1991,State,Euro Million,1301.9
194,All Livestock Products,1992,State,Euro Million,1410.7
195,All Livestock Products,1993,State,Euro Million,1476.7
196,All Livestock Products,1994,State,Euro Million,1487.6
197,All Livestock Products,1995,State,Euro Million,1580.8
198,All Livestock Products,1996,State,Euro Million,1573.9
199,All Livestock Products,1997,State,Euro Million,1450.9
200,All Livestock Products,1998,State,Euro Million,1465.9
201,All Livestock Products,1999,State,Euro Million,1438.1
202,All Livestock Products,2000,State,Euro Million,1484.3
203,All Livestock Products,2001,State,Euro Million,1604.2
204,All Livestock Products,2002,State,Euro Million,1451.0
205,All Livestock Products,2003,State,Euro Million,1470.6
206,All Livestock Products,2004,State,Euro Million,1459.3
207,All Livestock Products,2005,State,Euro Million,1389.5
208,All Livestock Products,2006,State,Euro Million,1380.2
209,All Livestock Products,2007,State,Euro Million,1716.1
210,All Livestock Products,2008,State,Euro Million,1681.5
211,All Livestock Products,2009,State,Euro Million,1153.9
212,All Livestock Products,2010,State,Euro Million,1583.9
213,All Livestock Products,2011,State,Euro Million,1891.1
214,All Livestock Products,2012,State,Euro Million,1692.3
215,All Livestock Products,2013,State,Euro Million,2132.3
216,All Livestock Products,2014,State,Euro Million,2151.3
217,All Livestock Products,2015,State,Euro Million,1949.4
218,All Livestock Products,2016,State,Euro Million,1857.8
219,All Livestock Products,2017,State,Euro Million,2668.7
220,All Livestock Products,2018,State,Euro Million,2639.2
221,All Livestock Products,2019,State,Euro Million,2689.7
222,All Livestock Products,2020,State,Euro Million,2832.0
223,All Livestock Products,2021,State,Euro Million,3460.0
224,All Livestock Products - Milk,1990,State,Euro Million,1316.3
225,All Livestock Products - Milk,1991,State,Euro Million,1258.9
226,All Livestock Products - Milk,1992,State,Euro Million,1373.1
227,All Livestock Products - Milk,1993,State,Euro Million,1439.0
228,All Livestock Products - Milk,1994,State,Euro Million,1446.2
229,All Livestock Products - Milk,1995,State,Euro Million,1538.5
230,All Livestock Products - Milk,1996,State,Euro Million,1536.0
231,All Livestock Products - Milk,1997,State,Euro Million,1414.5
232,All Livestock Products - Milk,1998,State,Euro Million,1431.2
233,All Livestock Products - Milk,1999,State,Euro Million,1408.8
234,All Livestock Products - Milk,2000,State,Euro Million,1447.1
235,All Livestock Products - Milk,2001,State,Euro Million,1566.1
236,All Livestock Products - Milk,2002,State,Euro Million,1413.0
237,All Livestock Products - Milk,2003,State,Euro Million,1431.3
238,All Livestock Products - Milk,2004,State,Euro Million,1417.8
239,All Livestock Products - Milk,2005,State,Euro Million,1342.1
240,All Livestock Products - Milk,2006,State,Euro Million,1332.5
241,All Livestock Products - Milk,2007,State,Euro Million,1667.5
242,All Livestock Products - Milk,2008,State,Euro Million,1628.1
243,All Livestock Products - Milk,2009,State,Euro Million,1106.5
244,All Livestock Products - Milk,2010,State,Euro Million,1541.9
245,All Livestock Products - Milk,2011,State,Euro Million,1834.8
246,All Livestock Products - Milk,2012,State,Euro Million,1629.8
247,All Livestock Products - Milk,2013,State,Euro Million,2073.4
248,All Livestock Products - Milk,2014,State,Euro Million,2093.1
249,All Livestock Products - Milk,2015,State,Euro Million,1881.1
250,All Livestock Products - Milk,2016,State,Euro Million,1790.8
251,All Livestock Products - Milk,2017,State,Euro Million,2594.1
252,All Livestock Products - Milk,2018,State,Euro Million,2556.7
253,All Livestock Products - Milk,2019,State,Euro Million,2608.6
254,All Livestock Products - Milk,2020,State,Euro Million,2752.7
255,All Livestock Products - Milk,2021,State,Euro Million,3376.6
256,All Livestock Products Other Products (excluding Milk),1990,State,Euro Million,43.7
257,All Livestock Products Other Products (excluding Milk),1991,State,Euro Million,43.0
258,All Livestock Products Other Products (excluding Milk),1992,State,Euro Million,37.6
259,All Livestock Products Other Products (excluding Milk),1993,State,Euro Million,37.7
260,All Livestock Products Other Products (excluding Milk),1994,State,Euro Million,41.4
261,All Livestock Products Other Products (excluding Milk),1995,State,Euro Million,42.3
262,All Livestock Products Other Products (excluding Milk),1996,State,Euro Million,37.9
263,All Livestock Products Other Products (excluding Milk),1997,State,Euro Million,36.3
264,All Livestock Products Other Products (excluding Milk),1998,State,Euro Million,34.7
265,All Livestock Products Other Products (excluding Milk),1999,State,Euro Million,29.3
266,All Livestock Products Other Products (excluding Milk),2000,State,Euro Million,37.2
267,All Livestock Products Other Products (excluding Milk),2001,State,Euro Million,38.1
268,All Livestock Products Other Products (excluding Milk),2002,State,Euro Million,37.9
269,All Livestock Products Other Products (excluding Milk),2003,State,Euro Million,39.3
270,All Livestock Products Other Products (excluding Milk),2004,State,Euro Million,41.6
271,All Livestock Products Other Products (excluding Milk),2005,State,Euro Million,47.3
272,All Livestock Products Other Products (excluding Milk),2006,State,Euro Million,47.7
273,All Livestock Products Other Products (excluding Milk),2007,State,Euro Million,48.6
274,All Livestock Products Other Products (excluding Milk),2008,State,Euro Million,53.4
275,All Livestock Products Other Products (excluding Milk),2009,State,Euro Million,47.4
276,All Livestock Products Other Products (excluding Milk),2010,State,Euro Million,42.0
277,All Livestock Products Other Products (excluding Milk),2011,State,Euro Million,56.3
278,All Livestock Products Other Products (excluding Milk),2012,State,Euro Million,62.6
279,All Livestock Products Other Products (excluding Milk),2013,State,Euro Million,58.9
280,All Livestock Products Other Products (excluding Milk),2014,State,Euro Million,58.2
281,All Livestock Products Other Products (excluding Milk),2015,State,Euro Million,68.3
282,All Livestock Products Other Products (excluding Milk),2016,State,Euro Million,67.0
283,All Livestock Products Other Products (excluding Milk),2017,State,Euro Million,74.6
284,All Livestock Products Other Products (excluding Milk),2018,State,Euro Million,82.6
285,All Livestock Products Other Products (excluding Milk),2019,State,Euro Million,81.1
286,All Livestock Products Other Products (excluding Milk),2020,State,Euro Million,79.2
287,All Livestock Products Other Products (excluding Milk),2021,State,Euro Million,83.4
288,All Crops,1990,State,Euro Million,1123.5
289,All Crops,1991,State,Euro Million,1127.3
290,All Crops,1992,State,Euro Million,1154.4
291,All Crops,1993,State,Euro Million,1101.7
292,All Crops,1994,State,Euro Million,1157.0
293,All Crops,1995,State,Euro Million,1217.2
294,All Crops,1996,State,Euro Million,1268.7
295,All Crops,1997,State,Euro Million,1102.6
296,All Crops,1998,State,Euro Million,1127.9
297,All Crops,1999,State,Euro Million,1184.3
298,All Crops,2000,State,Euro Million,1228.6
299,All Crops,2001,State,Euro Million,1322.5
300,All Crops,2002,State,Euro Million,1245.3
301,All Crops,2003,State,Euro Million,1302.7
302,All Crops,2004,State,Euro Million,1350.6
303,All Crops,2005,State,Euro Million,1378.1
304,All Crops,2006,State,Euro Million,1461.3
305,All Crops,2007,State,Euro Million,1632.7
306,All Crops,2008,State,Euro Million,1657.1
307,All Crops,2009,State,Euro Million,1377.9
308,All Crops,2010,State,Euro Million,1670.0
309,All Crops,2011,State,Euro Million,1715.9
310,All Crops,2012,State,Euro Million,1784.5
311,All Crops,2013,State,Euro Million,2066.4
312,All Crops,2014,State,Euro Million,1747.5
313,All Crops,2015,State,Euro Million,1737.3
314,All Crops,2016,State,Euro Million,1767.4
315,All Crops,2017,State,Euro Million,1824.6
316,All Crops,2018,State,Euro Million,2126.0
317,All Crops,2019,State,Euro Million,1893.6
318,All Crops,2020,State,Euro Million,1942.9
319,All Crops,2021,State,Euro Million,2120.5
320,All Cereals,1990,State,Euro Million,216.7
321,All Cereals,1991,State,Euro Million,218.6
322,All Cereals,1992,State,Euro Million,235.4
323,All Cereals,1993,State,Euro Million,165.7
324,All Cereals,1994,State,Euro Million,127.3
325,All Cereals,1995,State,Euro Million,159.4
326,All Cereals,1996,State,Euro Million,200.9
327,All Cereals,1997,State,Euro Million,160.0
328,All Cereals,1998,State,Euro Million,143.1
329,All Cereals,1999,State,Euro Million,164.1
330,All Cereals,2000,State,Euro Million,185.1
331,All Cereals,2001,State,Euro Million,169.8
332,All Cereals,2002,State,Euro Million,141.9
333,All Cereals,2003,State,Euro Million,171.7
334,All Cereals,2004,State,Euro Million,181.4
335,All Cereals,2005,State,Euro Million,125.7
336,All Cereals,2006,State,Euro Million,159.7
337,All Cereals,2007,State,Euro Million,241.8
338,All Cereals,2008,State,Euro Million,197.0
339,All Cereals,2009,State,Euro Million,107.0
340,All Cereals,2010,State,Euro Million,192.9
341,All Cereals,2011,State,Euro Million,290.1
342,All Cereals,2012,State,Euro Million,334.9
343,All Cereals,2013,State,Euro Million,289.6
344,All Cereals,2014,State,Euro Million,280.5
345,All Cereals,2015,State,Euro Million,262.7
346,All Cereals,2016,State,Euro Million,230.8
347,All Cereals,2017,State,Euro Million,237.2
348,All Cereals,2018,State,Euro Million,288.4
349,All Cereals,2019,State,Euro Million,327.2
350,All Cereals,2020,State,Euro Million,289.5
351,All Cereals,2021,State,Euro Million,421.9
352,Crops - Barley,1990,State,Euro Million,127.5
353,Crops - Barley,1991,State,Euro Million,123.4
354,Crops - Barley,1992,State,Euro Million,132.4
355,Crops - Barley,1993,State,Euro Million,94.0
356,Crops - Barley,1994,State,Euro Million,73.7
357,Crops - Barley,1995,State,Euro Million,110.1
358,Crops - Barley,1996,State,Euro Million,123.5
359,Crops - Barley,1997,State,Euro Million,92.7
360,Crops - Barley,1998,State,Euro Million,84.3
361,Crops - Barley,1999,State,Euro Million,106.8
362,Crops - Barley,2000,State,Euro Million,114.2
363,Crops - Barley,2001,State,Euro Million,105.3
364,Crops - Barley,2002,State,Euro Million,73.1
365,Crops - Barley,2003,State,Euro Million,102.2
366,Crops - Barley,2004,State,Euro Million,98.6
367,Crops - Barley,2005,State,Euro Million,67.2
368,Crops - Barley,2006,State,Euro Million,85.1
369,Crops - Barley,2007,State,Euro Million,137.7
370,Crops - Barley,2008,State,Euro Million,113.6
371,Crops - Barley,2009,State,Euro Million,63.9
372,Crops - Barley,2010,State,Euro Million,118.3
373,Crops - Barley,2011,State,Euro Million,163.2
374,Crops - Barley,2012,State,Euro Million,209.7
375,Crops - Barley,2013,State,Euro Million,207.3
376,Crops - Barley,2014,State,Euro Million,196.3
377,Crops - Barley,2015,State,Euro Million,174.0
378,Crops - Barley,2016,State,Euro Million,146.9
379,Crops - Barley,2017,State,Euro Million,150.1
380,Crops - Barley,2018,State,Euro Million,197.2
381,Crops - Barley,2019,State,Euro Million,218.7
382,Crops - Barley,2020,State,Euro Million,215.9
383,Crops - Barley,2021,State,Euro Million,
384,Crops - Wheat,1990,State,Euro Million,79.4
385,Crops - Wheat,1991,State,Euro Million,85.3
386,Crops - Wheat,1992,State,Euro Million,91.8
387,Crops - Wheat,1993,State,Euro Million,61.5
388,Crops - Wheat,1994,State,Euro Million,46.0
389,Crops - Wheat,1995,State,Euro Million,42.8
390,Crops - Wheat,1996,State,Euro Million,68.4
391,Crops - Wheat,1997,State,Euro Million,59.4
392,Crops - Wheat,1998,State,Euro Million,51.5
393,Crops - Wheat,1999,State,Euro Million,48.5
394,Crops - Wheat,2000,State,Euro Million,63.0
395,Crops - Wheat,2001,State,Euro Million,57.8
396,Crops - Wheat,2002,State,Euro Million,61.2
397,Crops - Wheat,2003,State,Euro Million,59.5
398,Crops - Wheat,2004,State,Euro Million,72.4
399,Crops - Wheat,2005,State,Euro Million,51.6
400,Crops - Wheat,2006,State,Euro Million,61.8
401,Crops - Wheat,2007,State,Euro Million,83.5
402,Crops - Wheat,2008,State,Euro Million,72.2
403,Crops - Wheat,2009,State,Euro Million,33.9
404,Crops - Wheat,2010,State,Euro Million,59.9
405,Crops - Wheat,2011,State,Euro Million,106.2
406,Crops - Wheat,2012,State,Euro Million,100.8
407,Crops - Wheat,2013,State,Euro Million,57.4
408,Crops - Wheat,2014,State,Euro Million,69.4
409,Crops - Wheat,2015,State,Euro Million,63.3
410,Crops - Wheat,2016,State,Euro Million,63.1
411,Crops - Wheat,2017,State,Euro Million,65.9
412,Crops - Wheat,2018,State,Euro Million,69.6
413,Crops - Wheat,2019,State,Euro Million,77.4
414,Crops - Wheat,2020,State,Euro Million,45.6
415,Crops - Wheat,2021,State,Euro Million,
416,Crops - Oats,1990,State,Euro Million,9.8
417,Crops - Oats,1991,State,Euro Million,10.0
418,Crops - Oats,1992,State,Euro Million,11.2
419,Crops - Oats,1993,State,Euro Million,10.3
420,Crops - Oats,1994,State,Euro Million,7.6
421,Crops - Oats,1995,State,Euro Million,6.5
422,Crops - Oats,1996,State,Euro Million,9.1
423,Crops - Oats,1997,State,Euro Million,7.9
424,Crops - Oats,1998,State,Euro Million,7.4
425,Crops - Oats,1999,State,Euro Million,8.8
426,Crops - Oats,2000,State,Euro Million,7.9
427,Crops - Oats,2001,State,Euro Million,6.7
428,Crops - Oats,2002,State,Euro Million,7.6
429,Crops - Oats,2003,State,Euro Million,10.0
430,Crops - Oats,2004,State,Euro Million,10.4
431,Crops - Oats,2005,State,Euro Million,6.9
432,Crops - Oats,2006,State,Euro Million,12.8
433,Crops - Oats,2007,State,Euro Million,20.6
434,Crops - Oats,2008,State,Euro Million,11.2
435,Crops - Oats,2009,State,Euro Million,9.2
436,Crops - Oats,2010,State,Euro Million,14.6
437,Crops - Oats,2011,State,Euro Million,20.7
438,Crops - Oats,2012,State,Euro Million,24.4
439,Crops - Oats,2013,State,Euro Million,24.9
440,Crops - Oats,2014,State,Euro Million,14.8
441,Crops - Oats,2015,State,Euro Million,25.5
442,Crops - Oats,2016,State,Euro Million,20.8
443,Crops - Oats,2017,State,Euro Million,21.3
444,Crops - Oats,2018,State,Euro Million,21.6
445,Crops - Oats,2019,State,Euro Million,31.1
446,Crops - Oats,2020,State,Euro Million,28.1
447,Crops - Oats,2021,State,Euro Million,
448,Crops - Potatoes,1990,State,Euro Million,72.3
449,Crops - Potatoes,1991,State,Euro Million,88.8
450,Crops - Potatoes,1992,State,Euro Million,97.3
451,Crops - Potatoes,1993,State,Euro Million,83.4
452,Crops - Potatoes,1994,State,Euro Million,127.7
453,Crops - Potatoes,1995,State,Euro Million,130.5
454,Crops - Potatoes,1996,State,Euro Million,94.7
455,Crops - Potatoes,1997,State,Euro Million,52.6
456,Crops - Potatoes,1998,State,Euro Million,103.1
457,Crops - Potatoes,1999,State,Euro Million,118.0
458,Crops - Potatoes,2000,State,Euro Million,58.8
459,Crops - Potatoes,2001,State,Euro Million,98.1
460,Crops - Potatoes,2002,State,Euro Million,96.5
461,Crops - Potatoes,2003,State,Euro Million,98.7
462,Crops - Potatoes,2004,State,Euro Million,89.1
463,Crops - Potatoes,2005,State,Euro Million,78.8
464,Crops - Potatoes,2006,State,Euro Million,104.2
465,Crops - Potatoes,2007,State,Euro Million,103.9
466,Crops - Potatoes,2008,State,Euro Million,79.9
467,Crops - Potatoes,2009,State,Euro Million,86.6
468,Crops - Potatoes,2010,State,Euro Million,117.6
469,Crops - Potatoes,2011,State,Euro Million,85.5
470,Crops - Potatoes,2012,State,Euro Million,103.2
471,Crops - Potatoes,2013,State,Euro Million,164.3
472,Crops - Potatoes,2014,State,Euro Million,89.2
473,Crops - Potatoes,2015,State,Euro Million,117.7
474,Crops - Potatoes,2016,State,Euro Million,136.0
475,Crops - Potatoes,2017,State,Euro Million,126.5
476,Crops - Potatoes,2018,State,Euro Million,139.3
477,Crops - Potatoes,2019,State,Euro Million,156.3
478,Crops - Potatoes,2020,State,Euro Million,118.3
479,Crops - Potatoes,2021,State,Euro Million,
480,Crops - Sugar Beet,1990,State,Euro Million,70.5
481,Crops - Sugar Beet,1991,State,Euro Million,69.1
482,Crops - Sugar Beet,1992,State,Euro Million,72.5
483,Crops - Sugar Beet,1993,State,Euro Million,64.2
484,Crops - Sugar Beet,1994,State,Euro Million,76.4
485,Crops - Sugar Beet,1995,State,Euro Million,77.1
486,Crops - Sugar Beet,1996,State,Euro Million,74.5
487,Crops - Sugar Beet,1997,State,Euro Million,70.7
488,Crops - Sugar Beet,1998,State,Euro Million,74.4
489,Crops - Sugar Beet,1999,State,Euro Million,72.9
490,Crops - Sugar Beet,2000,State,Euro Million,74.9
491,Crops - Sugar Beet,2001,State,Euro Million,75.1
492,Crops - Sugar Beet,2002,State,Euro Million,72.1
493,Crops - Sugar Beet,2003,State,Euro Million,75.6
494,Crops - Sugar Beet,2004,State,Euro Million,75.6
495,Crops - Sugar Beet,2005,State,Euro Million,66.7
496,Crops - Sugar Beet,2006,State,Euro Million,0.0
497,Crops - Sugar Beet,2007,State,Euro Million,0.0
498,Crops - Sugar Beet,2008,State,Euro Million,0.0
499,Crops - Sugar Beet,2009,State,Euro Million,0.0
500,Crops - Sugar Beet,2010,State,Euro Million,0.0
501,Crops - Sugar Beet,2011,State,Euro Million,0.0
502,Crops - Sugar Beet,2012,State,Euro Million,0.0
503,Crops - Sugar Beet,2013,State,Euro Million,0.0
504,Crops - Sugar Beet,2014,State,Euro Million,0.0
505,Crops - Sugar Beet,2015,State,Euro Million,0.0
506,Crops - Sugar Beet,2016,State,Euro Million,0.0
507,Crops - Sugar Beet,2017,State,Euro Million,0.0
508,Crops - Sugar Beet,2018,State,Euro Million,0.0
509,Crops - Sugar Beet,2019,State,Euro Million,0.0
510,Crops - Sugar Beet,2020,State,Euro Million,0.0
511,Crops - Sugar Beet,2021,State,Euro Million,
512,Crops - Mushrooms,1990,State,Euro Million,57.1
513,Crops - Mushrooms,1991,State,Euro Million,63.5
514,Crops - Mushrooms,1992,State,Euro Million,64.8
515,Crops - Mushrooms,1993,State,Euro Million,68.1
516,Crops - Mushrooms,1994,State,Euro Million,76.3
517,Crops - Mushrooms,1995,State,Euro Million,78.0
518,Crops - Mushrooms,1996,State,Euro Million,92.3
519,Crops - Mushrooms,1997,State,Euro Million,101.9
520,Crops - Mushrooms,1998,State,Euro Million,106.7
