Statistic,Year,Regional Veterinary Offices,UNIT,VALUE
Herds in County,2013,Limerick,Number,5546.0
Herds in County,2013,Longford,Number,2396.0
Herds in County,2013,Louth,Number,1204.0
Herds in County,2013,Mayo,Number,9637.0
Herds in County,2013,Meath,Number,3758.0
Herds in County,2013,Monaghan,Number,4289.0
Herds in County,2013,Offaly,Number,3106.0
Herds in County,2013,Roscommon,Number,5476.0
Herds in County,2013,Sligo,Number,3615.0
Herds in County,2013,Tipperary North,Number,3452.0
Herds in County,2013,Tipperary South,Number,3441.0
Herds in County,2013,Waterford,Number,2256.0
Herds in County,2013,Westmeath,Number,3035.0
Herds in County,2013,Wexford,Number,3122.0
Herds in County,2013,Wicklow E,Number,1082.0
Herds in County,2013,Wicklow W,Number,571.0
Herds in County,2014,State,Number,114508.0
Herds in County,2014,Carlow,Number,1330.0
Herds in County,2014,Cavan,Number,4817.0
Herds in County,2014,Clare,Number,6165.0
Herds in County,2014,Cork North,Number,5790.0
Herds in County,2014,Cork South,Number,6106.0
Herds in County,2014,Donegal,Number,5452.0
Herds in County,2014,Dublin,Number,388.0
Herds in County,2014,Galway,Number,11422.0
Herds in County,2014,Kerry,Number,6801.0
Herds in County,2014,Kildare,Number,1914.0
Herds in County,2014,Kilkenny,Number,3174.0
Herds in County,2014,Laois,Number,2876.0
Herds in County,2014,Leitrim,Number,2988.0
Herds in County,2014,Limerick,Number,5483.0
Herds in County,2014,Longford,Number,2384.0
Herds in County,2014,Louth,Number,1196.0
Herds in County,2014,Mayo,Number,9501.0
Herds in County,2014,Meath,Number,3659.0
Herds in County,2014,Monaghan,Number,4246.0
Herds in County,2014,Offaly,Number,3091.0
Herds in County,2014,Roscommon,Number,5420.0
Herds in County,2014,Sligo,Number,3556.0
Herds in County,2014,Tipperary North,Number,3439.0
Herds in County,2014,Tipperary South,Number,3412.0
Herds in County,2014,Waterford,Number,2241.0
Herds in County,2014,Westmeath,Number,3015.0
Herds in County,2014,Wexford,Number,3039.0
Herds in County,2014,Wicklow E,Number,1054.0
Herds in County,2014,Wicklow W,Number,549.0
Herds in County,2015,State,Number,115091.0
Herds in County,2015,Carlow,Number,1330.0
Herds in County,2015,Cavan,Number,4820.0
Herds in County,2015,Clare,Number,6203.0
Herds in County,2015,Cork North,Number,5799.0
Herds in County,2015,Cork South,Number,6130.0
Herds in County,2015,Donegal,Number,5597.0
Herds in County,2015,Dublin,Number,386.0
Herds in County,2015,Galway,Number,11411.0
Herds in County,2015,Kerry,Number,6818.0
Herds in County,2015,Kildare,Number,1927.0
Herds in County,2015,Kilkenny,Number,3173.0
Herds in County,2015,Laois,Number,2922.0
Herds in County,2015,Leitrim,Number,3023.0
Herds in County,2015,Limerick,Number,5507.0
Herds in County,2015,Longford,Number,2414.0
Herds in County,2015,Louth,Number,1228.0
Herds in County,2015,Mayo,Number,9338.0
Herds in County,2015,Meath,Number,3782.0
Herds in County,2015,Monaghan,Number,4253.0
Herds in County,2015,Offaly,Number,3124.0
Herds in County,2015,Roscommon,Number,5485.0
Herds in County,2015,Sligo,Number,3566.0
Herds in County,2015,Tipperary North,Number,3442.0
Herds in County,2015,Tipperary South,Number,3440.0
Herds in County,2015,Waterford,Number,2250.0
Herds in County,2015,Westmeath,Number,3037.0
Herds in County,2015,Wexford,Number,3059.0
Herds in County,2015,Wicklow E,Number,1071.0
Herds in County,2015,Wicklow W,Number,556.0
Herds in County,2016,State,Number,114705.0
Herds in County,2016,Carlow,Number,1325.0
Herds in County,2016,Cavan,Number,4875.0
Herds in County,2016,Clare,Number,6164.0
Herds in County,2016,Cork North,Number,5874.0
Herds in County,2016,Cork South,Number,6190.0
Herds in County,2016,Donegal,Number,5375.0
Herds in County,2016,Dublin,Number,379.0
Herds in County,2016,Galway,Number,11212.0
Herds in County,2016,Kerry,Number,6893.0
Herds in County,2016,Kildare,Number,1910.0
Herds in County,2016,Kilkenny,Number,3120.0
Herds in County,2016,Laois,Number,2880.0
Herds in County,2016,Leitrim,Number,2979.0
Herds in County,2016,Limerick,Number,5457.0
Herds in County,2016,Longford,Number,2407.0
Herds in County,2016,Louth,Number,1220.0
Herds in County,2016,Mayo,Number,9193.0
Herds in County,2016,Meath,Number,3721.0
Herds in County,2016,Monaghan,Number,4298.0
Herds in County,2016,Offaly,Number,3164.0
Herds in County,2016,Roscommon,Number,5497.0
Herds in County,2016,Sligo,Number,3547.0
Herds in County,2016,Tipperary North,Number,3499.0
Herds in County,2016,Tipperary South,Number,3493.0
Herds in County,2016,Waterford,Number,2214.0
Herds in County,2016,Westmeath,Number,3090.0
Herds in County,2016,Wexford,Number,3092.0
Herds in County,2016,Wicklow E,Number,1083.0
Herds in County,2016,Wicklow W,Number,554.0
Herds in County,2017,State,Number,113697.0
Herds in County,2017,Carlow,Number,1315.0
Herds in County,2017,Cavan,Number,4851.0
Herds in County,2017,Clare,Number,6101.0
Herds in County,2017,Cork North,Number,5822.0
Herds in County,2017,Cork South,Number,6120.0
Herds in County,2017,Donegal,Number,5349.0
Herds in County,2017,Dublin,Number,387.0
Herds in County,2017,Galway,Number,11072.0
Herds in County,2017,Kerry,Number,6754.0
Herds in County,2017,Kildare,Number,1892.0
Herds in County,2017,Kilkenny,Number,3084.0
Herds in County,2017,Laois,Number,2858.0
Herds in County,2017,Leitrim,Number,2930.0
Herds in County,2017,Limerick,Number,5435.0
Herds in County,2017,Longford,Number,2379.0
Herds in County,2017,Louth,Number,1195.0
Herds in County,2017,Mayo,Number,9033.0
Herds in County,2017,Meath,Number,3694.0
Herds in County,2017,Monaghan,Number,4312.0
Herds in County,2017,Offaly,Number,3172.0
Herds in County,2017,Roscommon,Number,5459.0
Herds in County,2017,Sligo,Number,3486.0
Herds in County,2017,Tipperary North,Number,3505.0
Herds in County,2017,Tipperary South,Number,3505.0
Herds in County,2017,Waterford,Number,2188.0
Herds in County,2017,Westmeath,Number,3119.0
Herds in County,2017,Wexford,Number,3058.0
Herds in County,2017,Wicklow E,Number,1066.0
Herds in County,2017,Wicklow W,Number,556.0
Herds in County,2018,State,Number,112105.0
Herds in County,2018,Carlow,Number,1296.0
Herds in County,2018,Cavan,Number,4860.0
Herds in County,2018,Clare,Number,6036.0
Herds in County,2018,Cork North,Number,5747.0
Herds in County,2018,Cork South,Number,6023.0
Herds in County,2018,Donegal,Number,5202.0
Herds in County,2018,Dublin,Number,372.0
Herds in County,2018,Galway,Number,10936.0
Herds in County,2018,Kerry,Number,6642.0
Herds in County,2018,Kildare,Number,1843.0
Herds in County,2018,Kilkenny,Number,3044.0
Herds in County,2018,Laois,Number,2811.0
Herds in County,2018,Leitrim,Number,2890.0
Herds in County,2018,Limerick,Number,5351.0
Herds in County,2018,Longford,Number,2356.0
Herds in County,2018,Louth,Number,1186.0
Herds in County,2018,Mayo,Number,8852.0
Herds in County,2018,Meath,Number,3687.0
Herds in County,2018,Monaghan,Number,4263.0
Herds in County,2018,Offaly,Number,3126.0
Herds in County,2018,Roscommon,Number,5359.0
Herds in County,2018,Sligo,Number,3429.0
Herds in County,2018,Tipperary North,Number,3469.0
Herds in County,2018,Tipperary South,Number,3457.0
Herds in County,2018,Waterford,Number,2156.0
Herds in County,2018,Westmeath,Number,3096.0
Herds in County,2018,Wexford,Number,3021.0
Herds in County,2018,Wicklow E,Number,1055.0
Herds in County,2018,Wicklow W,Number,540.0
Herds in County,2019,State,Number,111004.0
Herds in County,2019,Carlow,Number,1292.0
Herds in County,2019,Cavan,Number,4810.0
Herds in County,2019,Clare,Number,5910.0
Herds in County,2019,Cork North,Number,5702.0
Herds in County,2019,Cork South,Number,5926.0
Herds in County,2019,Donegal,Number,5249.0
Herds in County,2019,Dublin,Number,346.0
Herds in County,2019,Galway,Number,10824.0
Herds in County,2019,Kerry,Number,6581.0
Herds in County,2019,Kildare,Number,1742.0
Herds in County,2019,Kilkenny,Number,3056.0
Herds in County,2019,Laois,Number,2710.0
Herds in County,2019,Leitrim,Number,2863.0
Herds in County,2019,Limerick,Number,5204.0
Herds in County,2019,Longford,Number,2337.0
Herds in County,2019,Louth,Number,1199.0
Herds in County,2019,Mayo,Number,8763.0
Herds in County,2019,Meath,Number,3683.0
Herds in County,2019,Monaghan,Number,4235.0
Herds in County,2019,Offaly,Number,3077.0
Herds in County,2019,Roscommon,Number,5416.0
Herds in County,2019,Sligo,Number,3371.0
Herds in County,2019,Tipperary North,Number,3439.0
Herds in County,2019,Tipperary South,Number,3416.0
Herds in County,2019,Waterford,Number,2169.0
Herds in County,2019,Westmeath,Number,3063.0
Herds in County,2019,Wexford,Number,3050.0
Herds in County,2019,Wicklow E,Number,1058.0
Herds in County,2019,Wicklow W,Number,513.0
Herds in County,2020,State,Number,110216.0
Herds in County,2020,Carlow,Number,1307.0
Herds in County,2020,Cavan,Number,4771.0
Herds in County,2020,Clare,Number,5923.0
Herds in County,2020,Cork North,Number,5520.0
Herds in County,2020,Cork South,Number,5806.0
Herds in County,2020,Donegal,Number,5143.0
Herds in County,2020,Dublin,Number,344.0
Herds in County,2020,Galway,Number,10783.0
Herds in County,2020,Kerry,Number,6471.0
Herds in County,2020,Kildare,Number,1748.0
Herds in County,2020,Kilkenny,Number,3071.0
Herds in County,2020,Laois,Number,2695.0
Herds in County,2020,Leitrim,Number,2860.0
Herds in County,2020,Limerick,Number,5235.0
Herds in County,2020,Longford,Number,2357.0
Herds in County,2020,Louth,Number,1161.0
Herds in County,2020,Mayo,Number,8698.0
Herds in County,2020,Meath,Number,3616.0
Herds in County,2020,Monaghan,Number,4221.0
Herds in County,2020,Offaly,Number,3024.0
Herds in County,2020,Roscommon,Number,5377.0
Herds in County,2020,Sligo,Number,3378.0
Herds in County,2020,Tipperary North,Number,3405.0
Herds in County,2020,Tipperary South,Number,3395.0
Herds in County,2020,Waterford,Number,2189.0
Herds in County,2020,Westmeath,Number,3047.0
Herds in County,2020,Wexford,Number,3088.0
Herds in County,2020,Wicklow E,Number,1070.0
Herds in County,2020,Wicklow W,Number,513.0
Herds Tested,2010,State,Number,114011.0
Herds Tested,2010,Carlow,Number,1295.0
Herds Tested,2010,Cavan,Number,4832.0
Herds Tested,2010,Clare,Number,6134.0
Herds Tested,2010,Cork North,Number,5849.0
Herds Tested,2010,Cork South,Number,6107.0
Herds Tested,2010,Donegal,Number,5449.0
Herds Tested,2010,Dublin,Number,391.0
Herds Tested,2010,Galway,Number,11639.0
Herds Tested,2010,Kerry,Number,6790.0
Herds Tested,2010,Kildare,Number,1798.0
Herds Tested,2010,Kilkenny,Number,2989.0
Herds Tested,2010,Laois,Number,2821.0
Herds Tested,2010,Leitrim,Number,3061.0
Herds Tested,2010,Limerick,Number,5416.0
Herds Tested,2010,Longford,Number,2394.0
Herds Tested,2010,Louth,Number,1131.0
Herds Tested,2010,Mayo,Number,9716.0
Herds Tested,2010,Meath,Number,3512.0
Herds Tested,2010,Monaghan,Number,4189.0
Herds Tested,2010,Offaly,Number,3013.0
Herds Tested,2010,Roscommon,Number,5463.0
Herds Tested,2010,Sligo,Number,3635.0
Herds Tested,2010,Tipperary North,Number,3355.0
Herds Tested,2010,Tipperary South,Number,3307.0
Herds Tested,2010,Waterford,Number,2198.0
Herds Tested,2010,Westmeath,Number,2963.0
Herds Tested,2010,Wexford,Number,2981.0
Herds Tested,2010,Wicklow E,Number,1043.0
Herds Tested,2010,Wicklow W,Number,540.0
Herds Tested,2011,State,Number,114333.0
Herds Tested,2011,Carlow,Number,1326.0
Herds Tested,2011,Cavan,Number,4803.0
Herds Tested,2011,Clare,Number,6105.0
Herds Tested,2011,Cork North,Number,5689.0
Herds Tested,2011,Cork South,Number,6119.0
Herds Tested,2011,Donegal,Number,5467.0
Herds Tested,2011,Dublin,Number,387.0
Herds Tested,2011,Galway,Number,11509.0
Herds Tested,2011,Kerry,Number,6881.0
Herds Tested,2011,Kildare,Number,1900.0
Herds Tested,2011,Kilkenny,Number,3075.0
Herds Tested,2011,Laois,Number,2900.0
Herds Tested,2011,Leitrim,Number,3058.0
Herds Tested,2011,Limerick,Number,5369.0
Herds Tested,2011,Longford,Number,2382.0
Herds Tested,2011,Louth,Number,1155.0
Herds Tested,2011,Mayo,Number,9673.0
Herds Tested,2011,Meath,Number,3567.0
Herds Tested,2011,Monaghan,Number,4191.0
Herds Tested,2011,Offaly,Number,3078.0
Herds Tested,2011,Roscommon,Number,5443.0
Herds Tested,2011,Sligo,Number,3613.0
Herds Tested,2011,Tipperary North,Number,3419.0
Herds Tested,2011,Tipperary South,Number,3373.0
Herds Tested,2011,Waterford,Number,2197.0
Herds Tested,2011,Westmeath,Number,3053.0
Herds Tested,2011,Wexford,Number,3008.0
Herds Tested,2011,Wicklow E,Number,1027.0
Herds Tested,2011,Wicklow W,Number,566.0
Herds Tested,2012,State,Number,113887.0
Herds Tested,2012,Carlow,Number,1296.0
Herds Tested,2012,Cavan,Number,4814.0
Herds Tested,2012,Clare,Number,6128.0
Herds Tested,2012,Cork North,Number,5692.0
Herds Tested,2012,Cork South,Number,6112.0
Herds Tested,2012,Donegal,Number,5439.0
Herds Tested,2012,Dublin,Number,377.0
Herds Tested,2012,Galway,Number,11515.0
Herds Tested,2012,Kerry,Number,6758.0
Herds Tested,2012,Kildare,Number,1852.0
Herds Tested,2012,Kilkenny,Number,3067.0
Herds Tested,2012,Laois,Number,2849.0
Herds Tested,2012,Leitrim,Number,3042.0
Herds Tested,2012,Limerick,Number,5394.0
Herds Tested,2012,Longford,Number,2419.0
Herds Tested,2012,Louth,Number,1148.0
Herds Tested,2012,Mayo,Number,9560.0
Herds Tested,2012,Meath,Number,3570.0
Herds Tested,2012,Monaghan,Number,4170.0
Herds Tested,2012,Offaly,Number,3103.0
Herds Tested,2012,Roscommon,Number,5424.0
Herds Tested,2012,Sligo,Number,3596.0
Herds Tested,2012,Tipperary North,Number,3361.0
Herds Tested,2012,Tipperary South,Number,3347.0
Herds Tested,2012,Waterford,Number,2193.0
Herds Tested,2012,Westmeath,Number,3054.0
Herds Tested,2012,Wexford,Number,2994.0
Herds Tested,2012,Wicklow E,Number,1053.0
Herds Tested,2012,Wicklow W,Number,560.0
Herds Tested,2013,State,Number,114051.0
Herds Tested,2013,Carlow,Number,1302.0
Herds Tested,2013,Cavan,Number,4804.0
Herds Tested,2013,Clare,Number,6187.0
Herds Tested,2013,Cork North,Number,5712.0
Herds Tested,2013,Cork South,Number,6076.0
Herds Tested,2013,Donegal,Number,5411.0
Herds Tested,2013,Dublin,Number,383.0
Herds Tested,2013,Galway,Number,11528.0
Herds Tested,2013,Kerry,Number,6718.0
Herds Tested,2013,Kildare,Number,1888.0
Herds Tested,2013,Kilkenny,Number,3143.0
Herds Tested,2013,Laois,Number,2847.0
Herds Tested,2013,Leitrim,Number,3017.0
Herds Tested,2013,Limerick,Number,5476.0
Herds Tested,2013,Longford,Number,2366.0
Herds Tested,2013,Louth,Number,1153.0
Herds Tested,2013,Mayo,Number,9584.0
Herds Tested,2013,Meath,Number,3645.0
Herds Tested,2013,Monaghan,Number,4224.0
Herds Tested,2013,Offaly,Number,3054.0
Herds Tested,2013,Roscommon,Number,5410.0
Herds Tested,2013,Sligo,Number,3572.0
Herds Tested,2013,Tipperary North,Number,3376.0
Herds Tested,2013,Tipperary South,Number,3360.0
Herds Tested,2013,Waterford,Number,2237.0
Herds Tested,2013,Westmeath,Number,2978.0
Herds Tested,2013,Wexford,Number,2998.0
Herds Tested,2013,Wicklow E,Number,1039.0
Herds Tested,2013,Wicklow W,Number,563.0
Herds Tested,2014,State,Number,112937.0
Herds Tested,2014,Carlow,Number,1307.0
Herds Tested,2014,Cavan,Number,4761.0
Herds Tested,2014,Clare,Number,6138.0
Herds Tested,2014,Cork North,Number,5717.0
Herds Tested,2014,Cork South,Number,6019.0
Herds Tested,2014,Donegal,Number,5339.0
Herds Tested,2014,Dublin,Number,384.0
Herds Tested,2014,Galway,Number,11330.0
Herds Tested,2014,Kerry,Number,6764.0
Herds Tested,2014,Kildare,Number,1890.0
Herds Tested,2014,Kilkenny,Number,3144.0
Herds Tested,2014,Laois,Number,2848.0
Herds Tested,2014,Leitrim,Number,2951.0
Herds Tested,2014,Limerick,Number,5431.0
Herds Tested,2014,Longford,Number,2360.0
Herds Tested,2014,Louth,Number,1153.0
Herds Tested,2014,Mayo,Number,9325.0
Herds Tested,2014,Meath,Number,3538.0
Herds Tested,2014,Monaghan,Number,4166.0
Herds Tested,2014,Offaly,Number,3042.0
Herds Tested,2014,Roscommon,Number,5357.0
Herds Tested,2014,Sligo,Number,3530.0
Herds Tested,2014,Tipperary North,Number,3367.0
Herds Tested,2014,Tipperary South,Number,3333.0
Herds Tested,2014,Waterford,Number,2220.0
Herds Tested,2014,Westmeath,Number,2956.0
Herds Tested,2014,Wexford,Number,2993.0
Herds Tested,2014,Wicklow E,Number,1031.0
Herds Tested,2014,Wicklow W,Number,543.0
Herds Tested,2015,State,Number,113331.0
Herds Tested,2015,Carlow,Number,1298.0
Herds Tested,2015,Cavan,Number,4764.0
Herds Tested,2015,Clare,Number,6169.0
Herds Tested,2015,Cork North,Number,5727.0
Herds Tested,2015,Cork South,Number,6027.0
Herds Tested,2015,Donegal,Number,5351.0
Herds Tested,2015,Dublin,Number,378.0
Herds Tested,2015,Galway,Number,11252.0
Herds Tested,2015,Kerry,Number,6787.0
Herds Tested,2015,Kildare,Number,1901.0
Herds Tested,2015,Kilkenny,Number,3144.0
Herds Tested,2015,Laois,Number,2904.0
Herds Tested,2015,Leitrim,Number,2999.0
Herds Tested,2015,Limerick,Number,5460.0
Herds Tested,2015,Longford,Number,2388.0
Herds Tested,2015,Louth,Number,1190.0
Herds Tested,2015,Mayo,Number,9246.0
Herds Tested,2015,Meath,Number,3666.0
Herds Tested,2015,Monaghan,Number,4162.0
Herds Tested,2015,Offaly,Number,3057.0
Herds Tested,2015,Roscommon,Number,5387.0
Herds Tested,2015,Sligo,Number,3537.0
Herds Tested,2015,Tipperary North,Number,3365.0
Herds Tested,2015,Tipperary South,Number,3356.0
Herds Tested,2015,Waterford,Number,2241.0
Herds Tested,2015,Westmeath,Number,2972.0
Herds Tested,2015,Wexford,Number,3005.0
Herds Tested,2015,Wicklow E,Number,1047.0
Herds Tested,2015,Wicklow W,Number,551.0
Herds Tested,2016,State,Number,112595.0
Herds Tested,2016,Carlow,Number,1311.0
Herds Tested,2016,Cavan,Number,4795.0
Herds Tested,2016,Clare,Number,6124.0
Herds Tested,2016,Cork North,Number,5643.0
Herds Tested,2016,Cork South,Number,5947.0
Herds Tested,2016,Donegal,Number,5300.0
Herds Tested,2016,Dublin,Number,369.0
Herds Tested,2016,Galway,Number,11095.0
Herds Tested,2016,Kerry,Number,6608.0
Herds Tested,2016,Kildare,Number,1883.0
Herds Tested,2016,Kilkenny,Number,3093.0
Herds Tested,2016,Laois,Number,2859.0
Herds Tested,2016,Leitrim,Number,2942.0
Herds Tested,2016,Limerick,Number,5395.0
Herds Tested,2016,Longford,Number,2387.0
Herds Tested,2016,Louth,Number,1179.0
Herds Tested,2016,Mayo,Number,9132.0
Herds Tested,2016,Meath,Number,3589.0
Herds Tested,2016,Monaghan,Number,4187.0
Herds Tested,2016,Offaly,Number,3109.0
Herds Tested,2016,Roscommon,Number,5417.0
Herds Tested,2016,Sligo,Number,3511.0
Herds Tested,2016,Tipperary North,Number,3416.0
Herds Tested,2016,Tipperary South,Number,3413.0
Herds Tested,2016,Waterford,Number,2192.0
Herds Tested,2016,Westmeath,Number,3013.0
Herds Tested,2016,Wexford,Number,3061.0
Herds Tested,2016,Wicklow E,Number,1074.0
Herds Tested,2016,Wicklow W,Number,551.0
Herds Tested,2017,State,Number,111901.0
Herds Tested,2017,Carlow,Number,1297.0
Herds Tested,2017,Cavan,Number,4757.0
Herds Tested,2017,Clare,Number,6059.0
Herds Tested,2017,Cork North,Number,5720.0
Herds Tested,2017,Cork South,Number,6007.0
Herds Tested,2017,Donegal,Number,5207.0
Herds Tested,2017,Dublin,Number,377.0
Herds Tested,2017,Galway,Number,10977.0
Herds Tested,2017,Kerry,Number,6661.0
Herds Tested,2017,Kildare,Number,1866.0
Herds Tested,2017,Kilkenny,Number,3051.0
Herds Tested,2017,Laois,Number,2834.0
Herds Tested,2017,Leitrim,Number,2895.0
Herds Tested,2017,Limerick,Number,5358.0
Herds Tested,2017,Longford,Number,2358.0
Herds Tested,2017,Louth,Number,1148.0
Herds Tested,2017,Mayo,Number,8936.0
Herds Tested,2017,Meath,Number,3572.0
Herds Tested,2017,Monaghan,Number,4194.0
Herds Tested,2017,Offaly,Number,3111.0
Herds Tested,2017,Roscommon,Number,5390.0
Herds Tested,2017,Sligo,Number,3452.0
Herds Tested,2017,Tipperary North,Number,3425.0
Herds Tested,2017,Tipperary South,Number,3395.0
Herds Tested,2017,Waterford,Number,2169.0
Herds Tested,2017,Westmeath,Number,3058.0
Herds Tested,2017,Wexford,Number,3020.0
Herds Tested,2017,Wicklow E,Number,1055.0
Herds Tested,2017,Wicklow W,Number,552.0
Herds Tested,2018,State,Number,110454.0
Herds Tested,2018,Carlow,Number,1273.0
Herds Tested,2018,Cavan,Number,4799.0
Herds Tested,2018,Clare,Number,5969.0
Herds Tested,2018,Cork North,Number,5649.0
Herds Tested,2018,Cork South,Number,5930.0
Herds Tested,2018,Donegal,Number,5126.0
Herds Tested,2018,Dublin,Number,357.0
Herds Tested,2018,Galway,Number,10822.0
Herds Tested,2018,Kerry,Number,6570.0
Herds Tested,2018,Kildare,Number,1791.0
Herds Tested,2018,Kilkenny,Number,3009.0
Herds Tested,2018,Laois,Number,2779.0
Herds Tested,2018,Leitrim,Number,2868.0
Herds Tested,2018,Limerick,Number,5261.0
Herds Tested,2018,Longford,Number,2333.0
Herds Tested,2018,Louth,Number,1147.0
Herds Tested,2018,Mayo,Number,8771.0
Herds Tested,2018,Meath,Number,3581.0
Herds Tested,2018,Monaghan,Number,4164.0
Herds Tested,2018,Offaly,Number,3081.0
Herds Tested,2018,Roscommon,Number,5294.0
Herds Tested,2018,Sligo,Number,3400.0
Herds Tested,2018,Tipperary North,Number,3400.0
Herds Tested,2018,Tipperary South,Number,3362.0
Herds Tested,2018,Waterford,Number,2124.0
Herds Tested,2018,Westmeath,Number,3047.0
Herds Tested,2018,Wexford,Number,2982.0
Herds Tested,2018,Wicklow E,Number,1030.0
Herds Tested,2018,Wicklow W,Number,535.0
Herds Tested,2019,State,Number,109175.0
Herds Tested,2019,Carlow,Number,1270.0
Herds Tested,2019,Cavan,Number,4744.0
Herds Tested,2019,Clare,Number,5845.0
Herds Tested,2019,Cork North,Number,5588.0
Herds Tested,2019,Cork South,Number,5798.0
Herds Tested,2019,Donegal,Number,5043.0
Herds Tested,2019,Dublin,Number,337.0
Herds Tested,2019,Galway,Number,10698.0
Herds Tested,2019,Kerry,Number,6494.0
Herds Tested,2019,Kildare,Number,1697.0
Herds Tested,2019,Kilkenny,Number,3027.0
Herds Tested,2019,Laois,Number,2681.0
Herds Tested,2019,Leitrim,Number,2839.0
Herds Tested,2019,Limerick,Number,5106.0
Herds Tested,2019,Longford,Number,2309.0
Herds Tested,2019,Louth,Number,1159.0
Herds Tested,2019,Mayo,Number,8656.0
