Statistic,Year,Type of Land Use,Region,UNIT,VALUE
Area Farmed in June,2013,Other crops,Dublin and Mid-East,000 Hectares,1.7
Area Farmed in June,2013,Other crops,Midland,000 Hectares,0.4
Area Farmed in June,2013,Total cereals,State,000 Hectares,307.8
Area Farmed in June,2013,Total cereals,Northern and Western,000 Hectares,12.7
Area Farmed in June,2013,Total cereals,Border,000 Hectares,7.1
Area Farmed in June,2013,Total cereals,West,000 Hectares,5.5
Area Farmed in June,2013,Total cereals,Southern,000 Hectares,161.2
Area Farmed in June,2013,Total cereals,Mid-West,000 Hectares,24.2
Area Farmed in June,2013,Total cereals,South-East,000 Hectares,91.5
Area Farmed in June,2013,Total cereals,South-West,000 Hectares,45.5
Area Farmed in June,2013,Total cereals,Eastern and Midland,000 Hectares,134.0
Area Farmed in June,2013,Total cereals,Dublin and Mid-East,000 Hectares,101.2
Area Farmed in June,2013,Total cereals,Midland,000 Hectares,32.7
Area Farmed in June,2013,Total wheat,State,000 Hectares,60.6
Area Farmed in June,2013,Total wheat,Northern and Western,000 Hectares,0.8
Area Farmed in June,2013,Total wheat,Border,000 Hectares,0.6
Area Farmed in June,2013,Total wheat,West,000 Hectares,0.2
Area Farmed in June,2013,Total wheat,Southern,000 Hectares,24.9
Area Farmed in June,2013,Total wheat,Mid-West,000 Hectares,4.4
Area Farmed in June,2013,Total wheat,South-East,000 Hectares,13.4
Area Farmed in June,2013,Total wheat,South-West,000 Hectares,7.2
Area Farmed in June,2013,Total wheat,Eastern and Midland,000 Hectares,34.9
Area Farmed in June,2013,Total wheat,Dublin and Mid-East,000 Hectares,30.4
Area Farmed in June,2013,Total wheat,Midland,000 Hectares,4.4
Area Farmed in June,2013,Winter wheat,State,000 Hectares,45.4
Area Farmed in June,2013,Winter wheat,Northern and Western,000 Hectares,0.5
Area Farmed in June,2013,Winter wheat,Border,000 Hectares,0.4
Area Farmed in June,2013,Winter wheat,West,000 Hectares,0.1
Area Farmed in June,2013,Winter wheat,Southern,000 Hectares,17.6
Area Farmed in June,2013,Winter wheat,Mid-West,000 Hectares,3.6
Area Farmed in June,2013,Winter wheat,South-East,000 Hectares,9.7
Area Farmed in June,2013,Winter wheat,South-West,000 Hectares,4.2
Area Farmed in June,2013,Winter wheat,Eastern and Midland,000 Hectares,27.3
Area Farmed in June,2013,Winter wheat,Dublin and Mid-East,000 Hectares,24.1
Area Farmed in June,2013,Winter wheat,Midland,000 Hectares,3.3
Area Farmed in June,2013,Spring wheat,State,000 Hectares,15.2
Area Farmed in June,2013,Spring wheat,Northern and Western,000 Hectares,0.4
Area Farmed in June,2013,Spring wheat,Border,000 Hectares,0.2
Area Farmed in June,2013,Spring wheat,West,000 Hectares,0.1
Area Farmed in June,2013,Spring wheat,Southern,000 Hectares,7.3
Area Farmed in June,2013,Spring wheat,Mid-West,000 Hectares,0.8
Area Farmed in June,2013,Spring wheat,South-East,000 Hectares,3.6
Area Farmed in June,2013,Spring wheat,South-West,000 Hectares,2.9
Area Farmed in June,2013,Spring wheat,Eastern and Midland,000 Hectares,7.5
Area Farmed in June,2013,Spring wheat,Dublin and Mid-East,000 Hectares,6.4
Area Farmed in June,2013,Spring wheat,Midland,000 Hectares,1.1
Area Farmed in June,2013,Total oats,State,000 Hectares,26.7
Area Farmed in June,2013,Total oats,Northern and Western,000 Hectares,1.9
Area Farmed in June,2013,Total oats,Border,000 Hectares,1.0
Area Farmed in June,2013,Total oats,West,000 Hectares,0.9
Area Farmed in June,2013,Total oats,Southern,000 Hectares,13.3
Area Farmed in June,2013,Total oats,Mid-West,000 Hectares,2.1
Area Farmed in June,2013,Total oats,South-East,000 Hectares,8.1
Area Farmed in June,2013,Total oats,South-West,000 Hectares,3.1
Area Farmed in June,2013,Total oats,Eastern and Midland,000 Hectares,11.4
Area Farmed in June,2013,Total oats,Dublin and Mid-East,000 Hectares,9.6
Area Farmed in June,2013,Total oats,Midland,000 Hectares,1.8
Area Farmed in June,2013,Winter oats,State,000 Hectares,5.4
Area Farmed in June,2013,Winter oats,Northern and Western,000 Hectares,0.1
Area Farmed in June,2013,Winter oats,Border,000 Hectares,0.1
Area Farmed in June,2013,Winter oats,West,000 Hectares,0.0
Area Farmed in June,2013,Winter oats,Southern,000 Hectares,2.7
Area Farmed in June,2013,Winter oats,Mid-West,000 Hectares,0.3
Area Farmed in June,2013,Winter oats,South-East,000 Hectares,2.0
Area Farmed in June,2013,Winter oats,South-West,000 Hectares,0.4
Area Farmed in June,2013,Winter oats,Eastern and Midland,000 Hectares,2.6
Area Farmed in June,2013,Winter oats,Dublin and Mid-East,000 Hectares,2.0
Area Farmed in June,2013,Winter oats,Midland,000 Hectares,0.6
Area Farmed in June,2013,Spring oats,State,000 Hectares,21.3
Area Farmed in June,2013,Spring oats,Northern and Western,000 Hectares,1.8
Area Farmed in June,2013,Spring oats,Border,000 Hectares,0.9
Area Farmed in June,2013,Spring oats,West,000 Hectares,0.9
Area Farmed in June,2013,Spring oats,Southern,000 Hectares,10.6
Area Farmed in June,2013,Spring oats,Mid-West,000 Hectares,1.8
Area Farmed in June,2013,Spring oats,South-East,000 Hectares,6.2
Area Farmed in June,2013,Spring oats,South-West,000 Hectares,2.6
Area Farmed in June,2013,Spring oats,Eastern and Midland,000 Hectares,8.9
Area Farmed in June,2013,Spring oats,Dublin and Mid-East,000 Hectares,7.6
Area Farmed in June,2013,Spring oats,Midland,000 Hectares,1.3
Area Farmed in June,2013,Total barley,State,000 Hectares,219.4
Area Farmed in June,2013,Total barley,Northern and Western,000 Hectares,9.8
Area Farmed in June,2013,Total barley,Border,000 Hectares,5.4
Area Farmed in June,2013,Total barley,West,000 Hectares,4.3
Area Farmed in June,2013,Total barley,Southern,000 Hectares,122.6
Area Farmed in June,2013,Total barley,Mid-West,000 Hectares,17.6
Area Farmed in June,2013,Total barley,South-East,000 Hectares,69.7
Area Farmed in June,2013,Total barley,South-West,000 Hectares,35.2
Area Farmed in June,2013,Total barley,Eastern and Midland,000 Hectares,87.1
Area Farmed in June,2013,Total barley,Dublin and Mid-East,000 Hectares,60.9
Area Farmed in June,2013,Total barley,Midland,000 Hectares,26.3
Area Farmed in June,2013,Winter barley,State,000 Hectares,36.0
Area Farmed in June,2013,Winter barley,Northern and Western,000 Hectares,1.2
Area Farmed in June,2013,Winter barley,Border,000 Hectares,1.1
Area Farmed in June,2013,Winter barley,West,000 Hectares,0.1
Area Farmed in June,2013,Winter barley,Southern,000 Hectares,19.8
Area Farmed in June,2013,Winter barley,Mid-West,000 Hectares,4.2
Area Farmed in June,2013,Winter barley,South-East,000 Hectares,7.2
Area Farmed in June,2013,Winter barley,South-West,000 Hectares,8.5
Area Farmed in June,2013,Winter barley,Eastern and Midland,000 Hectares,15.0
Area Farmed in June,2013,Winter barley,Dublin and Mid-East,000 Hectares,12.1
Area Farmed in June,2013,Winter barley,Midland,000 Hectares,2.9
Area Farmed in June,2013,Spring barley,State,000 Hectares,183.5
Area Farmed in June,2013,Spring barley,Northern and Western,000 Hectares,8.6
Area Farmed in June,2013,Spring barley,Border,000 Hectares,4.3
Area Farmed in June,2013,Spring barley,West,000 Hectares,4.3
Area Farmed in June,2013,Spring barley,Southern,000 Hectares,102.7
Area Farmed in June,2013,Spring barley,Mid-West,000 Hectares,13.4
Area Farmed in June,2013,Spring barley,South-East,000 Hectares,62.6
Area Farmed in June,2013,Spring barley,South-West,000 Hectares,26.8
Area Farmed in June,2013,Spring barley,Eastern and Midland,000 Hectares,72.1
Area Farmed in June,2013,Spring barley,Dublin and Mid-East,000 Hectares,48.7
Area Farmed in June,2013,Spring barley,Midland,000 Hectares,23.4
Area Farmed in June,2013,Other cereals,State,000 Hectares,1.1
Area Farmed in June,2013,Other cereals,Northern and Western,000 Hectares,0.2
Area Farmed in June,2013,Other cereals,Border,000 Hectares,0.1
Area Farmed in June,2013,Other cereals,West,000 Hectares,0.1
Area Farmed in June,2013,Other cereals,Southern,000 Hectares,0.4
Area Farmed in June,2013,Other cereals,Mid-West,000 Hectares,0.1
Area Farmed in June,2013,Other cereals,South-East,000 Hectares,0.3
Area Farmed in June,2013,Other cereals,South-West,000 Hectares,0.1
Area Farmed in June,2013,Other cereals,Eastern and Midland,000 Hectares,0.6
Area Farmed in June,2013,Other cereals,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2013,Other cereals,Midland,000 Hectares,0.2
Area Farmed in June,2013,Rough grazing in use,State,000 Hectares,473.5
Area Farmed in June,2013,Rough grazing in use,Northern and Western,000 Hectares,224.3
Area Farmed in June,2013,Rough grazing in use,Border,000 Hectares,116.8
Area Farmed in June,2013,Rough grazing in use,West,000 Hectares,107.5
Area Farmed in June,2013,Rough grazing in use,Southern,000 Hectares,197.8
Area Farmed in June,2013,Rough grazing in use,Mid-West,000 Hectares,45.3
Area Farmed in June,2013,Rough grazing in use,South-East,000 Hectares,25.9
Area Farmed in June,2013,Rough grazing in use,South-West,000 Hectares,126.6
Area Farmed in June,2013,Rough grazing in use,Eastern and Midland,000 Hectares,51.4
Area Farmed in June,2013,Rough grazing in use,Dublin and Mid-East,000 Hectares,33.2
Area Farmed in June,2013,Rough grazing in use,Midland,000 Hectares,18.1
Area Farmed in June,2014,Area farmed (AAU),State,000 Hectares,4465.8
Area Farmed in June,2014,Area farmed (AAU),Northern and Western,000 Hectares,1508.7
Area Farmed in June,2014,Area farmed (AAU),Border,000 Hectares,703.0
Area Farmed in June,2014,Area farmed (AAU),West,000 Hectares,805.7
Area Farmed in June,2014,Area farmed (AAU),Southern,000 Hectares,2013.1
Area Farmed in June,2014,Area farmed (AAU),Mid-West,000 Hectares,702.2
Area Farmed in June,2014,Area farmed (AAU),South-East,000 Hectares,517.9
Area Farmed in June,2014,Area farmed (AAU),South-West,000 Hectares,793.0
Area Farmed in June,2014,Area farmed (AAU),Eastern and Midland,000 Hectares,944.0
Area Farmed in June,2014,Area farmed (AAU),Dublin and Mid-East,000 Hectares,501.8
Area Farmed in June,2014,Area farmed (AAU),Midland,000 Hectares,442.2
Area Farmed in June,2014,Crops and pasture,State,000 Hectares,3971.5
Area Farmed in June,2014,Crops and pasture,Northern and Western,000 Hectares,1272.0
Area Farmed in June,2014,Crops and pasture,Border,000 Hectares,581.4
Area Farmed in June,2014,Crops and pasture,West,000 Hectares,690.6
Area Farmed in June,2014,Crops and pasture,Southern,000 Hectares,1812.6
Area Farmed in June,2014,Crops and pasture,Mid-West,000 Hectares,654.0
Area Farmed in June,2014,Crops and pasture,South-East,000 Hectares,492.5
Area Farmed in June,2014,Crops and pasture,South-West,000 Hectares,666.1
Area Farmed in June,2014,Crops and pasture,Eastern and Midland,000 Hectares,886.9
Area Farmed in June,2014,Crops and pasture,Dublin and Mid-East,000 Hectares,473.4
Area Farmed in June,2014,Crops and pasture,Midland,000 Hectares,413.6
Area Farmed in June,2014,Pasture,State,000 Hectares,2308.4
Area Farmed in June,2014,Pasture,Northern and Western,000 Hectares,855.9
Area Farmed in June,2014,Pasture,Border,000 Hectares,387.1
Area Farmed in June,2014,Pasture,West,000 Hectares,468.8
Area Farmed in June,2014,Pasture,Southern,000 Hectares,991.1
Area Farmed in June,2014,Pasture,Mid-West,000 Hectares,381.2
Area Farmed in June,2014,Pasture,South-East,000 Hectares,231.9
Area Farmed in June,2014,Pasture,South-West,000 Hectares,378.0
Area Farmed in June,2014,Pasture,Eastern and Midland,000 Hectares,461.4
Area Farmed in June,2014,Pasture,Dublin and Mid-East,000 Hectares,227.7
Area Farmed in June,2014,Pasture,Midland,000 Hectares,233.7
Area Farmed in June,2014,Hay,State,000 Hectares,217.9
Area Farmed in June,2014,Hay,Northern and Western,000 Hectares,65.9
Area Farmed in June,2014,Hay,Border,000 Hectares,35.9
Area Farmed in June,2014,Hay,West,000 Hectares,30.0
Area Farmed in June,2014,Hay,Southern,000 Hectares,102.9
Area Farmed in June,2014,Hay,Mid-West,000 Hectares,46.9
Area Farmed in June,2014,Hay,South-East,000 Hectares,28.8
Area Farmed in June,2014,Hay,South-West,000 Hectares,27.2
Area Farmed in June,2014,Hay,Eastern and Midland,000 Hectares,49.1
Area Farmed in June,2014,Hay,Dublin and Mid-East,000 Hectares,25.8
Area Farmed in June,2014,Hay,Midland,000 Hectares,23.3
Area Farmed in June,2014,Grass silage,State,000 Hectares,1077.6
Area Farmed in June,2014,Grass silage,Northern and Western,000 Hectares,334.4
Area Farmed in June,2014,Grass silage,Border,000 Hectares,149.4
Area Farmed in June,2014,Grass silage,West,000 Hectares,185.1
Area Farmed in June,2014,Grass silage,Southern,000 Hectares,529.6
Area Farmed in June,2014,Grass silage,Mid-West,000 Hectares,198.4
Area Farmed in June,2014,Grass silage,South-East,000 Hectares,125.3
Area Farmed in June,2014,Grass silage,South-West,000 Hectares,205.9
Area Farmed in June,2014,Grass silage,Eastern and Midland,000 Hectares,213.5
Area Farmed in June,2014,Grass silage,Dublin and Mid-East,000 Hectares,94.7
Area Farmed in June,2014,Grass silage,Midland,000 Hectares,118.8
Area Farmed in June,2014,"Total crops, fruit and horticulture",State,000 Hectares,367.7
Area Farmed in June,2014,"Total crops, fruit and horticulture",Northern and Western,000 Hectares,15.7
Area Farmed in June,2014,"Total crops, fruit and horticulture",Border,000 Hectares,9.0
Area Farmed in June,2014,"Total crops, fruit and horticulture",West,000 Hectares,6.7
Area Farmed in June,2014,"Total crops, fruit and horticulture",Southern,000 Hectares,189.0
Area Farmed in June,2014,"Total crops, fruit and horticulture",Mid-West,000 Hectares,27.5
Area Farmed in June,2014,"Total crops, fruit and horticulture",South-East,000 Hectares,106.5
Area Farmed in June,2014,"Total crops, fruit and horticulture",South-West,000 Hectares,55.0
Area Farmed in June,2014,"Total crops, fruit and horticulture",Eastern and Midland,000 Hectares,163.0
Area Farmed in June,2014,"Total crops, fruit and horticulture",Dublin and Mid-East,000 Hectares,125.2
