,Statistic,Year,State,UNIT,VALUE
116,Subsidies on Products - Cereals,2013,State,Euro Million,0.0
117,Subsidies on Products - Cereals,2014,State,Euro Million,0.0
118,Subsidies on Products - Cereals,2015,State,Euro Million,0.0
119,Subsidies on Products - Cereals,2016,State,Euro Million,0.0
120,Subsidies on Products - Cereals,2017,State,Euro Million,0.0
121,Subsidies on Products - Cereals,2018,State,Euro Million,0.0
122,Subsidies on Products - Cereals,2019,State,Euro Million,0.0
123,Subsidies on Products - Cereals,2020,State,Euro Million,0.0
124,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",1990,State,Euro Million,0.0
125,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",1991,State,Euro Million,0.2
126,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",1992,State,Euro Million,1.4
127,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",1993,State,Euro Million,10.5
128,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",1994,State,Euro Million,4.3
129,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",1995,State,Euro Million,4.6
130,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",1996,State,Euro Million,4.2
131,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",1997,State,Euro Million,7.0
132,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",1998,State,Euro Million,26.6
133,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",1999,State,Euro Million,32.1
134,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2000,State,Euro Million,9.9
135,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2001,State,Euro Million,7.6
136,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2002,State,Euro Million,7.6
137,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2003,State,Euro Million,7.7
138,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2004,State,Euro Million,67.7
139,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2005,State,Euro Million,1.4
140,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2006,State,Euro Million,0.1
141,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2007,State,Euro Million,0.1
142,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2008,State,Euro Million,0.1
143,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2009,State,Euro Million,0.1
144,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2010,State,Euro Million,0.0
145,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2011,State,Euro Million,0.0
146,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2012,State,Euro Million,0.0
147,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2013,State,Euro Million,0.0
148,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2014,State,Euro Million,0.0
149,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2015,State,Euro Million,0.0
150,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2016,State,Euro Million,0.0
151,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2017,State,Euro Million,0.0
152,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2018,State,Euro Million,0.0
153,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2019,State,Euro Million,0.0
154,"Other Subsidies on Products (excluding Cattle, Sheep and Cereals)",2020,State,Euro Million,0.0
