Statistic,Year,State,UNIT,VALUE
Livestock - Cattle,2021,State,Euro Million,2520.0
Livestock - Pig,1990,State,Euro Million,237.2
Livestock - Pig,1991,State,Euro Million,242.1
Livestock - Pig,1992,State,Euro Million,280.4
Livestock - Pig,1993,State,Euro Million,257.9
Livestock - Pig,1994,State,Euro Million,264.5
Livestock - Pig,1995,State,Euro Million,295.5
Livestock - Pig,1996,State,Euro Million,356.5
Livestock - Pig,1997,State,Euro Million,337.0
Livestock - Pig,1998,State,Euro Million,282.6
Livestock - Pig,1999,State,Euro Million,251.4
Livestock - Pig,2000,State,Euro Million,296.7
Livestock - Pig,2001,State,Euro Million,346.1
Livestock - Pig,2002,State,Euro Million,300.9
Livestock - Pig,2003,State,Euro Million,285.1
Livestock - Pig,2004,State,Euro Million,297.5
Livestock - Pig,2005,State,Euro Million,292.9
Livestock - Pig,2006,State,Euro Million,321.5
Livestock - Pig,2007,State,Euro Million,288.6
Livestock - Pig,2008,State,Euro Million,330.1
Livestock - Pig,2009,State,Euro Million,300.0
Livestock - Pig,2010,State,Euro Million,333.7
Livestock - Pig,2011,State,Euro Million,394.2
Livestock - Pig,2012,State,Euro Million,441.5
Livestock - Pig,2013,State,Euro Million,475.7
Livestock - Pig,2014,State,Euro Million,471.3
Livestock - Pig,2015,State,Euro Million,456.3
Livestock - Pig,2016,State,Euro Million,465.6
Livestock - Pig,2017,State,Euro Million,516.8
Livestock - Pig,2018,State,Euro Million,459.1
Livestock - Pig,2019,State,Euro Million,543.0
Livestock - Pig,2020,State,Euro Million,601.9
Livestock - Pig,2021,State,Euro Million,565.1
Livestock - Sheep,1990,State,Euro Million,188.8
Livestock - Sheep,1991,State,Euro Million,198.9
Livestock - Sheep,1992,State,Euro Million,192.8
Livestock - Sheep,1993,State,Euro Million,232.4
Livestock - Sheep,1994,State,Euro Million,230.2
Livestock - Sheep,1995,State,Euro Million,190.7
Livestock - Sheep,1996,State,Euro Million,241.8
Livestock - Sheep,1997,State,Euro Million,230.0
Livestock - Sheep,1998,State,Euro Million,214.0
Livestock - Sheep,1999,State,Euro Million,198.0
Livestock - Sheep,2000,State,Euro Million,203.5
Livestock - Sheep,2001,State,Euro Million,284.4
Livestock - Sheep,2002,State,Euro Million,202.2
Livestock - Sheep,2003,State,Euro Million,193.3
Livestock - Sheep,2004,State,Euro Million,200.4
Livestock - Sheep,2005,State,Euro Million,194.2
Livestock - Sheep,2006,State,Euro Million,193.1
Livestock - Sheep,2007,State,Euro Million,184.5
Livestock - Sheep,2008,State,Euro Million,173.8
Livestock - Sheep,2009,State,Euro Million,159.4
Livestock - Sheep,2010,State,Euro Million,165.6
Livestock - Sheep,2011,State,Euro Million,189.8
Livestock - Sheep,2012,State,Euro Million,204.4
Livestock - Sheep,2013,State,Euro Million,203.8
Livestock - Sheep,2014,State,Euro Million,231.6
Livestock - Sheep,2015,State,Euro Million,245.2
Livestock - Sheep,2016,State,Euro Million,255.7
Livestock - Sheep,2017,State,Euro Million,262.9
Livestock - Sheep,2018,State,Euro Million,258.8
Livestock - Sheep,2019,State,Euro Million,260.8
Livestock - Sheep,2020,State,Euro Million,303.3
Livestock - Sheep,2021,State,Euro Million,361.9
Livestock - Horses,1990,State,Euro Million,83.2
Livestock - Horses,1991,State,Euro Million,70.2
Livestock - Horses,1992,State,Euro Million,61.4
Livestock - Horses,1993,State,Euro Million,84.5
Livestock - Horses,1994,State,Euro Million,75.9
Livestock - Horses,1995,State,Euro Million,70.1
Livestock - Horses,1996,State,Euro Million,96.9
Livestock - Horses,1997,State,Euro Million,106.9
Livestock - Horses,1998,State,Euro Million,128.7
Livestock - Horses,1999,State,Euro Million,150.0
Livestock - Horses,2000,State,Euro Million,164.4
Livestock - Horses,2001,State,Euro Million,146.5
Livestock - Horses,2002,State,Euro Million,200.7
Livestock - Horses,2003,State,Euro Million,204.3
Livestock - Horses,2004,State,Euro Million,217.6
Livestock - Horses,2005,State,Euro Million,234.0
Livestock - Horses,2006,State,Euro Million,263.5
Livestock - Horses,2007,State,Euro Million,269.3
Livestock - Horses,2008,State,Euro Million,228.5
Livestock - Horses,2009,State,Euro Million,172.7
Livestock - Horses,2010,State,Euro Million,145.9
Livestock - Horses,2011,State,Euro Million,135.6
Livestock - Horses,2012,State,Euro Million,166.7
Livestock - Horses,2013,State,Euro Million,186.5
Livestock - Horses,2014,State,Euro Million,221.7
Livestock - Horses,2015,State,Euro Million,247.3
Livestock - Horses,2016,State,Euro Million,270.5
Livestock - Horses,2017,State,Euro Million,287.4
Livestock - Horses,2018,State,Euro Million,306.4
Livestock - Horses,2019,State,Euro Million,255.5
Livestock - Horses,2020,State,Euro Million,216.1
Livestock - Horses,2021,State,Euro Million,257.2
Livestock - Poultry,1990,State,Euro Million,117.1
Livestock - Poultry,1991,State,Euro Million,125.5
Livestock - Poultry,1992,State,Euro Million,124.5
Livestock - Poultry,1993,State,Euro Million,116.0
Livestock - Poultry,1994,State,Euro Million,134.6
Livestock - Poultry,1995,State,Euro Million,133.8
Livestock - Poultry,1996,State,Euro Million,140.4
Livestock - Poultry,1997,State,Euro Million,149.1
Livestock - Poultry,1998,State,Euro Million,142.2
Livestock - Poultry,1999,State,Euro Million,137.8
Livestock - Poultry,2000,State,Euro Million,124.0
Livestock - Poultry,2001,State,Euro Million,137.7
Livestock - Poultry,2002,State,Euro Million,132.1
Livestock - Poultry,2003,State,Euro Million,138.7
Livestock - Poultry,2004,State,Euro Million,151.2
Livestock - Poultry,2005,State,Euro Million,146.5
Livestock - Poultry,2006,State,Euro Million,114.3
Livestock - Poultry,2007,State,Euro Million,133.0
Livestock - Poultry,2008,State,Euro Million,122.7
Livestock - Poultry,2009,State,Euro Million,115.1
Livestock - Poultry,2010,State,Euro Million,112.2
Livestock - Poultry,2011,State,Euro Million,130.1
Livestock - Poultry,2012,State,Euro Million,132.9
Livestock - Poultry,2013,State,Euro Million,129.9
Livestock - Poultry,2014,State,Euro Million,133.3
Livestock - Poultry,2015,State,Euro Million,142.2
Livestock - Poultry,2016,State,Euro Million,159.5
Livestock - Poultry,2017,State,Euro Million,163.1
Livestock - Poultry,2018,State,Euro Million,159.0
Livestock - Poultry,2019,State,Euro Million,169.2
Livestock - Poultry,2020,State,Euro Million,180.0
Livestock - Poultry,2021,State,Euro Million,187.9
All Livestock Products,1990,State,Euro Million,1360.0
All Livestock Products,1991,State,Euro Million,1301.9
All Livestock Products,1992,State,Euro Million,1410.7
All Livestock Products,1993,State,Euro Million,1476.7
All Livestock Products,1994,State,Euro Million,1487.6
All Livestock Products,1995,State,Euro Million,1580.8
All Livestock Products,1996,State,Euro Million,1573.9
All Livestock Products,1997,State,Euro Million,1450.9
All Livestock Products,1998,State,Euro Million,1465.9
All Livestock Products,1999,State,Euro Million,1438.1
All Livestock Products,2000,State,Euro Million,1484.3
All Livestock Products,2001,State,Euro Million,1604.2
All Livestock Products,2002,State,Euro Million,1451.0
All Livestock Products,2003,State,Euro Million,1470.6
All Livestock Products,2004,State,Euro Million,1459.3
All Livestock Products,2005,State,Euro Million,1389.5
All Livestock Products,2006,State,Euro Million,1380.2
All Livestock Products,2007,State,Euro Million,1716.1
All Livestock Products,2008,State,Euro Million,1681.5
All Livestock Products,2009,State,Euro Million,1153.9
All Livestock Products,2010,State,Euro Million,1583.9
All Livestock Products,2011,State,Euro Million,1891.1
All Livestock Products,2012,State,Euro Million,1692.3
All Livestock Products,2013,State,Euro Million,2132.3
All Livestock Products,2014,State,Euro Million,2151.3
All Livestock Products,2015,State,Euro Million,1949.4
All Livestock Products,2016,State,Euro Million,1857.8
All Livestock Products,2017,State,Euro Million,2668.7
All Livestock Products,2018,State,Euro Million,2639.2
All Livestock Products,2019,State,Euro Million,2689.7
All Livestock Products,2020,State,Euro Million,2832.0
All Livestock Products,2021,State,Euro Million,3460.0
All Livestock Products - Milk,1990,State,Euro Million,1316.3
All Livestock Products - Milk,1991,State,Euro Million,1258.9
All Livestock Products - Milk,1992,State,Euro Million,1373.1
All Livestock Products - Milk,1993,State,Euro Million,1439.0
All Livestock Products - Milk,1994,State,Euro Million,1446.2
All Livestock Products - Milk,1995,State,Euro Million,1538.5
All Livestock Products - Milk,1996,State,Euro Million,1536.0
All Livestock Products - Milk,1997,State,Euro Million,1414.5
All Livestock Products - Milk,1998,State,Euro Million,1431.2
All Livestock Products - Milk,1999,State,Euro Million,1408.8
All Livestock Products - Milk,2000,State,Euro Million,1447.1
All Livestock Products - Milk,2001,State,Euro Million,1566.1
All Livestock Products - Milk,2002,State,Euro Million,1413.0
All Livestock Products - Milk,2003,State,Euro Million,1431.3
All Livestock Products - Milk,2004,State,Euro Million,1417.8
All Livestock Products - Milk,2005,State,Euro Million,1342.1
All Livestock Products - Milk,2006,State,Euro Million,1332.5
All Livestock Products - Milk,2007,State,Euro Million,1667.5
All Livestock Products - Milk,2008,State,Euro Million,1628.1
All Livestock Products - Milk,2009,State,Euro Million,1106.5
All Livestock Products - Milk,2010,State,Euro Million,1541.9
All Livestock Products - Milk,2011,State,Euro Million,1834.8
All Livestock Products - Milk,2012,State,Euro Million,1629.8
All Livestock Products - Milk,2013,State,Euro Million,2073.4
All Livestock Products - Milk,2014,State,Euro Million,2093.1
All Livestock Products - Milk,2015,State,Euro Million,1881.1
All Livestock Products - Milk,2016,State,Euro Million,1790.8
All Livestock Products - Milk,2017,State,Euro Million,2594.1
All Livestock Products - Milk,2018,State,Euro Million,2556.7
All Livestock Products - Milk,2019,State,Euro Million,2608.6
All Livestock Products - Milk,2020,State,Euro Million,2752.7
All Livestock Products - Milk,2021,State,Euro Million,3376.6
All Livestock Products Other Products (excluding Milk),1990,State,Euro Million,43.7
All Livestock Products Other Products (excluding Milk),1991,State,Euro Million,43.0
All Livestock Products Other Products (excluding Milk),1992,State,Euro Million,37.6
All Livestock Products Other Products (excluding Milk),1993,State,Euro Million,37.7
All Livestock Products Other Products (excluding Milk),1994,State,Euro Million,41.4
All Livestock Products Other Products (excluding Milk),1995,State,Euro Million,42.3
All Livestock Products Other Products (excluding Milk),1996,State,Euro Million,37.9
All Livestock Products Other Products (excluding Milk),1997,State,Euro Million,36.3
All Livestock Products Other Products (excluding Milk),1998,State,Euro Million,34.7
All Livestock Products Other Products (excluding Milk),1999,State,Euro Million,29.3
All Livestock Products Other Products (excluding Milk),2000,State,Euro Million,37.2
All Livestock Products Other Products (excluding Milk),2001,State,Euro Million,38.1
All Livestock Products Other Products (excluding Milk),2002,State,Euro Million,37.9
All Livestock Products Other Products (excluding Milk),2003,State,Euro Million,39.3
All Livestock Products Other Products (excluding Milk),2004,State,Euro Million,41.6
All Livestock Products Other Products (excluding Milk),2005,State,Euro Million,47.3
All Livestock Products Other Products (excluding Milk),2006,State,Euro Million,47.7
All Livestock Products Other Products (excluding Milk),2007,State,Euro Million,48.6
All Livestock Products Other Products (excluding Milk),2008,State,Euro Million,53.4
All Livestock Products Other Products (excluding Milk),2009,State,Euro Million,47.4
All Livestock Products Other Products (excluding Milk),2010,State,Euro Million,42.0
All Livestock Products Other Products (excluding Milk),2011,State,Euro Million,56.3
All Livestock Products Other Products (excluding Milk),2012,State,Euro Million,62.6
All Livestock Products Other Products (excluding Milk),2013,State,Euro Million,58.9
All Livestock Products Other Products (excluding Milk),2014,State,Euro Million,58.2
All Livestock Products Other Products (excluding Milk),2015,State,Euro Million,68.3
All Livestock Products Other Products (excluding Milk),2016,State,Euro Million,67.0
All Livestock Products Other Products (excluding Milk),2017,State,Euro Million,74.6
All Livestock Products Other Products (excluding Milk),2018,State,Euro Million,82.6
All Livestock Products Other Products (excluding Milk),2019,State,Euro Million,81.1
All Livestock Products Other Products (excluding Milk),2020,State,Euro Million,79.2
All Livestock Products Other Products (excluding Milk),2021,State,Euro Million,83.4
All Crops,1990,State,Euro Million,1123.5
All Crops,1991,State,Euro Million,1127.3
All Crops,1992,State,Euro Million,1154.4
All Crops,1993,State,Euro Million,1101.7
All Crops,1994,State,Euro Million,1157.0
All Crops,1995,State,Euro Million,1217.2
All Crops,1996,State,Euro Million,1268.7
All Crops,1997,State,Euro Million,1102.6
All Crops,1998,State,Euro Million,1127.9
All Crops,1999,State,Euro Million,1184.3
All Crops,2000,State,Euro Million,1228.6
All Crops,2001,State,Euro Million,1322.5
All Crops,2002,State,Euro Million,1245.3
All Crops,2003,State,Euro Million,1302.7
All Crops,2004,State,Euro Million,1350.6
All Crops,2005,State,Euro Million,1378.1
All Crops,2006,State,Euro Million,1461.3
All Crops,2007,State,Euro Million,1632.7
All Crops,2008,State,Euro Million,1657.1
All Crops,2009,State,Euro Million,1377.9
All Crops,2010,State,Euro Million,1670.0
All Crops,2011,State,Euro Million,1715.9
All Crops,2012,State,Euro Million,1784.5
All Crops,2013,State,Euro Million,2066.4
All Crops,2014,State,Euro Million,1747.5
All Crops,2015,State,Euro Million,1737.3
All Crops,2016,State,Euro Million,1767.4
All Crops,2017,State,Euro Million,1824.6
All Crops,2018,State,Euro Million,2126.0
All Crops,2019,State,Euro Million,1893.6
All Crops,2020,State,Euro Million,1942.9
All Crops,2021,State,Euro Million,2120.5
All Cereals,1990,State,Euro Million,216.7
All Cereals,1991,State,Euro Million,218.6
All Cereals,1992,State,Euro Million,235.4
All Cereals,1993,State,Euro Million,165.7
All Cereals,1994,State,Euro Million,127.3
All Cereals,1995,State,Euro Million,159.4
All Cereals,1996,State,Euro Million,200.9
All Cereals,1997,State,Euro Million,160.0
All Cereals,1998,State,Euro Million,143.1
All Cereals,1999,State,Euro Million,164.1
All Cereals,2000,State,Euro Million,185.1
All Cereals,2001,State,Euro Million,169.8
All Cereals,2002,State,Euro Million,141.9
All Cereals,2003,State,Euro Million,171.7
All Cereals,2004,State,Euro Million,181.4
All Cereals,2005,State,Euro Million,125.7
All Cereals,2006,State,Euro Million,159.7
All Cereals,2007,State,Euro Million,241.8
All Cereals,2008,State,Euro Million,197.0
All Cereals,2009,State,Euro Million,107.0
All Cereals,2010,State,Euro Million,192.9
All Cereals,2011,State,Euro Million,290.1
All Cereals,2012,State,Euro Million,334.9
All Cereals,2013,State,Euro Million,289.6
All Cereals,2014,State,Euro Million,280.5
All Cereals,2015,State,Euro Million,262.7
All Cereals,2016,State,Euro Million,230.8
All Cereals,2017,State,Euro Million,237.2
All Cereals,2018,State,Euro Million,288.4
All Cereals,2019,State,Euro Million,327.2
All Cereals,2020,State,Euro Million,289.5
All Cereals,2021,State,Euro Million,421.9
Crops - Barley,1990,State,Euro Million,127.5
Crops - Barley,1991,State,Euro Million,123.4
Crops - Barley,1992,State,Euro Million,132.4
Crops - Barley,1993,State,Euro Million,94.0
Crops - Barley,1994,State,Euro Million,73.7
Crops - Barley,1995,State,Euro Million,110.1
Crops - Barley,1996,State,Euro Million,123.5
Crops - Barley,1997,State,Euro Million,92.7
Crops - Barley,1998,State,Euro Million,84.3
Crops - Barley,1999,State,Euro Million,106.8
Crops - Barley,2000,State,Euro Million,114.2
Crops - Barley,2001,State,Euro Million,105.3
Crops - Barley,2002,State,Euro Million,73.1
Crops - Barley,2003,State,Euro Million,102.2
Crops - Barley,2004,State,Euro Million,98.6
Crops - Barley,2005,State,Euro Million,67.2
Crops - Barley,2006,State,Euro Million,85.1
Crops - Barley,2007,State,Euro Million,137.7
Crops - Barley,2008,State,Euro Million,113.6
Crops - Barley,2009,State,Euro Million,63.9
Crops - Barley,2010,State,Euro Million,118.3
Crops - Barley,2011,State,Euro Million,163.2
Crops - Barley,2012,State,Euro Million,209.7
Crops - Barley,2013,State,Euro Million,207.3
Crops - Barley,2014,State,Euro Million,196.3
Crops - Barley,2015,State,Euro Million,174.0
Crops - Barley,2016,State,Euro Million,146.9
Crops - Barley,2017,State,Euro Million,150.1
Crops - Barley,2018,State,Euro Million,197.2
Crops - Barley,2019,State,Euro Million,218.7
Crops - Barley,2020,State,Euro Million,215.9
Crops - Barley,2021,State,Euro Million,
Crops - Wheat,1990,State,Euro Million,79.4
Crops - Wheat,1991,State,Euro Million,85.3
Crops - Wheat,1992,State,Euro Million,91.8
Crops - Wheat,1993,State,Euro Million,61.5
Crops - Wheat,1994,State,Euro Million,46.0
Crops - Wheat,1995,State,Euro Million,42.8
Crops - Wheat,1996,State,Euro Million,68.4
Crops - Wheat,1997,State,Euro Million,59.4
Crops - Wheat,1998,State,Euro Million,51.5
Crops - Wheat,1999,State,Euro Million,48.5
Crops - Wheat,2000,State,Euro Million,63.0
Crops - Wheat,2001,State,Euro Million,57.8
Crops - Wheat,2002,State,Euro Million,61.2
Crops - Wheat,2003,State,Euro Million,59.5
Crops - Wheat,2004,State,Euro Million,72.4
Crops - Wheat,2005,State,Euro Million,51.6
Crops - Wheat,2006,State,Euro Million,61.8
Crops - Wheat,2007,State,Euro Million,83.5
Crops - Wheat,2008,State,Euro Million,72.2
Crops - Wheat,2009,State,Euro Million,33.9
Crops - Wheat,2010,State,Euro Million,59.9
Crops - Wheat,2011,State,Euro Million,106.2
Crops - Wheat,2012,State,Euro Million,100.8
Crops - Wheat,2013,State,Euro Million,57.4
Crops - Wheat,2014,State,Euro Million,69.4
Crops - Wheat,2015,State,Euro Million,63.3
Crops - Wheat,2016,State,Euro Million,63.1
Crops - Wheat,2017,State,Euro Million,65.9
Crops - Wheat,2018,State,Euro Million,69.6
Crops - Wheat,2019,State,Euro Million,77.4
Crops - Wheat,2020,State,Euro Million,45.6
Crops - Wheat,2021,State,Euro Million,
Crops - Oats,1990,State,Euro Million,9.8
Crops - Oats,1991,State,Euro Million,10.0
Crops - Oats,1992,State,Euro Million,11.2
Crops - Oats,1993,State,Euro Million,10.3
Crops - Oats,1994,State,Euro Million,7.6
Crops - Oats,1995,State,Euro Million,6.5
Crops - Oats,1996,State,Euro Million,9.1
Crops - Oats,1997,State,Euro Million,7.9
Crops - Oats,1998,State,Euro Million,7.4
Crops - Oats,1999,State,Euro Million,8.8
Crops - Oats,2000,State,Euro Million,7.9
Crops - Oats,2001,State,Euro Million,6.7
Crops - Oats,2002,State,Euro Million,7.6
Crops - Oats,2003,State,Euro Million,10.0
Crops - Oats,2004,State,Euro Million,10.4
Crops - Oats,2005,State,Euro Million,6.9
Crops - Oats,2006,State,Euro Million,12.8
Crops - Oats,2007,State,Euro Million,20.6
Crops - Oats,2008,State,Euro Million,11.2
Crops - Oats,2009,State,Euro Million,9.2
Crops - Oats,2010,State,Euro Million,14.6
Crops - Oats,2011,State,Euro Million,20.7
Crops - Oats,2012,State,Euro Million,24.4
Crops - Oats,2013,State,Euro Million,24.9
Crops - Oats,2014,State,Euro Million,14.8
Crops - Oats,2015,State,Euro Million,25.5
Crops - Oats,2016,State,Euro Million,20.8
Crops - Oats,2017,State,Euro Million,21.3
Crops - Oats,2018,State,Euro Million,21.6
Crops - Oats,2019,State,Euro Million,31.1
Crops - Oats,2020,State,Euro Million,28.1
Crops - Oats,2021,State,Euro Million,
Crops - Potatoes,1990,State,Euro Million,72.3
Crops - Potatoes,1991,State,Euro Million,88.8
Crops - Potatoes,1992,State,Euro Million,97.3
Crops - Potatoes,1993,State,Euro Million,83.4
Crops - Potatoes,1994,State,Euro Million,127.7
Crops - Potatoes,1995,State,Euro Million,130.5
Crops - Potatoes,1996,State,Euro Million,94.7
Crops - Potatoes,1997,State,Euro Million,52.6
Crops - Potatoes,1998,State,Euro Million,103.1
Crops - Potatoes,1999,State,Euro Million,118.0
Crops - Potatoes,2000,State,Euro Million,58.8
Crops - Potatoes,2001,State,Euro Million,98.1
Crops - Potatoes,2002,State,Euro Million,96.5
Crops - Potatoes,2003,State,Euro Million,98.7
Crops - Potatoes,2004,State,Euro Million,89.1
Crops - Potatoes,2005,State,Euro Million,78.8
Crops - Potatoes,2006,State,Euro Million,104.2
Crops - Potatoes,2007,State,Euro Million,103.9
Crops - Potatoes,2008,State,Euro Million,79.9
Crops - Potatoes,2009,State,Euro Million,86.6
Crops - Potatoes,2010,State,Euro Million,117.6
Crops - Potatoes,2011,State,Euro Million,85.5
Crops - Potatoes,2012,State,Euro Million,103.2
Crops - Potatoes,2013,State,Euro Million,164.3
Crops - Potatoes,2014,State,Euro Million,89.2
Crops - Potatoes,2015,State,Euro Million,117.7
Crops - Potatoes,2016,State,Euro Million,136.0
Crops - Potatoes,2017,State,Euro Million,126.5
Crops - Potatoes,2018,State,Euro Million,139.3
Crops - Potatoes,2019,State,Euro Million,156.3
Crops - Potatoes,2020,State,Euro Million,118.3
Crops - Potatoes,2021,State,Euro Million,
Crops - Sugar Beet,1990,State,Euro Million,70.5
Crops - Sugar Beet,1991,State,Euro Million,69.1
Crops - Sugar Beet,1992,State,Euro Million,72.5
Crops - Sugar Beet,1993,State,Euro Million,64.2
Crops - Sugar Beet,1994,State,Euro Million,76.4
Crops - Sugar Beet,1995,State,Euro Million,77.1
Crops - Sugar Beet,1996,State,Euro Million,74.5
Crops - Sugar Beet,1997,State,Euro Million,70.7
Crops - Sugar Beet,1998,State,Euro Million,74.4
Crops - Sugar Beet,1999,State,Euro Million,72.9
Crops - Sugar Beet,2000,State,Euro Million,74.9
Crops - Sugar Beet,2001,State,Euro Million,75.1
Crops - Sugar Beet,2002,State,Euro Million,72.1
Crops - Sugar Beet,2003,State,Euro Million,75.6
Crops - Sugar Beet,2004,State,Euro Million,75.6
Crops - Sugar Beet,2005,State,Euro Million,66.7
Crops - Sugar Beet,2006,State,Euro Million,0.0
Crops - Sugar Beet,2007,State,Euro Million,0.0
Crops - Sugar Beet,2008,State,Euro Million,0.0
Crops - Sugar Beet,2009,State,Euro Million,0.0
Crops - Sugar Beet,2010,State,Euro Million,0.0
Crops - Sugar Beet,2011,State,Euro Million,0.0
Crops - Sugar Beet,2012,State,Euro Million,0.0
Crops - Sugar Beet,2013,State,Euro Million,0.0
Crops - Sugar Beet,2014,State,Euro Million,0.0
Crops - Sugar Beet,2015,State,Euro Million,0.0
Crops - Sugar Beet,2016,State,Euro Million,0.0
Crops - Sugar Beet,2017,State,Euro Million,0.0
Crops - Sugar Beet,2018,State,Euro Million,0.0
Crops - Sugar Beet,2019,State,Euro Million,0.0
Crops - Sugar Beet,2020,State,Euro Million,0.0
Crops - Sugar Beet,2021,State,Euro Million,
Crops - Mushrooms,1990,State,Euro Million,57.1
Crops - Mushrooms,1991,State,Euro Million,63.5
Crops - Mushrooms,1992,State,Euro Million,64.8
Crops - Mushrooms,1993,State,Euro Million,68.1
Crops - Mushrooms,1994,State,Euro Million,76.3
Crops - Mushrooms,1995,State,Euro Million,78.0
Crops - Mushrooms,1996,State,Euro Million,92.3
Crops - Mushrooms,1997,State,Euro Million,101.9
Crops - Mushrooms,1998,State,Euro Million,106.7
Crops - Mushrooms,1999,State,Euro Million,111.4
Crops - Mushrooms,2000,State,Euro Million,114.8
Crops - Mushrooms,2001,State,Euro Million,115.6
Crops - Mushrooms,2002,State,Euro Million,137.7
Crops - Mushrooms,2003,State,Euro Million,124.5
Crops - Mushrooms,2004,State,Euro Million,114.7
Crops - Mushrooms,2005,State,Euro Million,110.0
Crops - Mushrooms,2006,State,Euro Million,99.9
Crops - Mushrooms,2007,State,Euro Million,99.6
Crops - Mushrooms,2008,State,Euro Million,102.8
Crops - Mushrooms,2009,State,Euro Million,98.8
Crops - Mushrooms,2010,State,Euro Million,98.5
Crops - Mushrooms,2011,State,Euro Million,100.2
Crops - Mushrooms,2012,State,Euro Million,111.9
Crops - Mushrooms,2013,State,Euro Million,121.5
Crops - Mushrooms,2014,State,Euro Million,133.2
Crops - Mushrooms,2015,State,Euro Million,137.0
Crops - Mushrooms,2016,State,Euro Million,121.7
Crops - Mushrooms,2017,State,Euro Million,118.2
Crops - Mushrooms,2018,State,Euro Million,117.1
Crops - Mushrooms,2019,State,Euro Million,119.2
Crops - Mushrooms,2020,State,Euro Million,123.8
Crops - Mushrooms,2021,State,Euro Million,
Crops - Other Fresh Vegetables,1990,State,Euro Million,54.0
Crops - Other Fresh Vegetables,1991,State,Euro Million,58.8
Crops - Other Fresh Vegetables,1992,State,Euro Million,52.6
Crops - Other Fresh Vegetables,1993,State,Euro Million,57.4
Crops - Other Fresh Vegetables,1994,State,Euro Million,61.2
Crops - Other Fresh Vegetables,1995,State,Euro Million,57.2
Crops - Other Fresh Vegetables,1996,State,Euro Million,67.9
Crops - Other Fresh Vegetables,1997,State,Euro Million,59.1
Crops - Other Fresh Vegetables,1998,State,Euro Million,61.1
Crops - Other Fresh Vegetables,1999,State,Euro Million,59.3
Crops - Other Fresh Vegetables,2000,State,Euro Million,74.1
Crops - Other Fresh Vegetables,2001,State,Euro Million,82.8
Crops - Other Fresh Vegetables,2002,State,Euro Million,73.5
Crops - Other Fresh Vegetables,2003,State,Euro Million,78.7
Crops - Other Fresh Vegetables,2004,State,Euro Million,84.2
